resolved_timestamp,type
"2013-04-05 08:55:23+00:00",AT
"2013-04-05 08:56:30+00:00",AT
"2013-04-05 09:05:01+00:00",AT
"2013-04-05 09:46:04+00:00",AT
"2013-04-05 09:52:14+00:00",AT
"2013-04-05 10:16:25+00:00",AT
"2013-04-05 10:18:51+00:00",AT
"2013-04-05 10:32:14+00:00",AT
"2013-04-05 10:35:12+00:00",AT
"2013-04-05 11:12:10+00:00",AT
"2013-04-05 11:39:23+00:00",AT
"2013-04-05 11:41:14+00:00",AT
"2013-04-05 11:42:48+00:00",AT
"2013-04-05 11:43:58+00:00",AT
"2013-04-05 12:05:51+00:00",AT
"2013-04-05 12:50:47+00:00",AT
"2013-04-05 12:58:00+00:00",AT
"2013-04-05 13:00:36+00:00",AT
"2013-04-05 13:20:39+00:00",AT
"2013-04-05 13:35:11+00:00",AT
"2013-04-05 13:46:46+00:00",AT
"2013-04-05 13:54:58+00:00",DEV
"2013-04-05 16:01:27+00:00",AT
"2013-04-06 13:55:19+00:00",AT
"2013-04-07 13:20:10+00:00",AT
"2013-04-07 18:46:15+00:00",AT
"2013-04-08 07:54:35+00:00",AT
"2013-04-08 07:58:38+00:00",AT
"2013-04-08 10:16:05+00:00",AT
"2013-04-08 10:17:10+00:00",AT
"2013-04-08 12:16:42+00:00",AT
"2013-04-08 12:50:03+00:00",AT
"2013-04-08 13:13:25+00:00",PS
"2013-04-08 13:35:53+00:00",AT
"2013-04-08 13:37:32+00:00",AT
"2013-04-08 13:46:47+00:00",AT
"2013-04-08 14:27:46+00:00",AT
"2013-04-08 15:10:11+00:00",AT
"2013-04-08 15:47:08+00:00",AT
"2013-04-08 16:21:50+00:00",AT
"2013-04-08 16:22:38+00:00",AT
"2013-04-08 16:31:13+00:00",AT
"2013-04-09 08:43:36+00:00",AT
"2013-04-09 10:05:35+00:00",AT
"2013-04-09 10:06:41+00:00",AT
"2013-04-09 10:09:07+00:00",PS
"2013-04-09 10:15:35+00:00",AT
"2013-04-09 11:55:45+00:00",AT
"2013-04-10 08:22:26+00:00",AT
"2013-04-10 08:34:56+00:00",AT
"2013-04-10 08:35:48+00:00",AT
"2013-04-10 09:40:57+00:00",AT
"2013-04-10 09:46:17+00:00",AT
"2013-04-10 09:52:38+00:00",PS
"2013-04-10 09:54:02+00:00",PS
"2013-04-10 09:55:14+00:00",PS
"2013-04-10 11:00:32+00:00",PS
"2013-04-10 11:11:15+00:00",AT
"2013-04-10 11:13:12+00:00",AT
"2013-04-10 11:29:51+00:00",AT
"2013-04-10 11:36:50+00:00",AT
"2013-04-10 11:50:51+00:00",AT
"2013-04-10 12:11:56+00:00",PS
"2013-04-10 13:31:28+00:00",AT
"2013-04-10 13:43:37+00:00",AT
"2013-04-11 10:45:13+00:00",DEV
"2013-04-11 10:45:32+00:00",DEV
"2013-04-11 10:45:50+00:00",DEV
"2013-04-11 10:47:45+00:00",DEV
