branch;line;nd
#ifndef ZEND_SIGNAL_QUEUE_SIZE;9;1
#ifdef ZTS;35;1
#else;42;1
#ifdef ZTS;58;1
#else;60;1
#ifdef HAVE_STDARG_H;3;1
#if ZEND_BROKEN_SPRINTF;6;1
#if HAVE_MMAP;5;3
#ifdef S_ISREG;40;1
#if HAVE_MMAP;50;1
#ifdef S_ISREG;84;1
#ifdef NETWARE;119;1
#else;121;1
#if HAVE_MMAP;173;1
#if HAVE_MMAP;221;1
#ifndef ZEND_DEBUG_INTERNED_STRINGS;3;1
#if ZEND_DEBUG_INTERNED_STRINGS;6;1
#ifndef ZTS;17;2
#ifndef ZTS;41;2
#ifndef ZTS;51;2
#else;125;1
#ifndef ZTS;135;1
#ifndef ZTS;140;2
#ifndef ZTS;11;1
#else;13;1
#ifdef ZTS;3;1
#ifdef HAVE_LOCALE_H;13;1
#ifdef HAVE_SYS_TYPES_H;16;1
#if defined(HAVE_INTTYPES_H);19;1
#elif defined(HAVE_STDINT_H);21;1
#ifndef HAVE_INT32_T;24;2
#ifndef HAVE_UINT32_T;31;2
#if (defined(__APPLE__) || defined(__APPLE_CC__)) && (defined(__BIG_ENDIAN__) || defined(__LITTLE_ENDIAN__));38;3
#ifdef WORDS_BIGENDIAN;47;1
#else;49;1
#if defined(__arm__) && !defined(__VFP_FP__);52;1
#ifdef __vax__;56;1
#if defined(_MSC_VER);60;1
#ifdef __cplusplus;67;1
#else;70;2
#ifdef MALLOC;80;2
#else;86;1
#ifdef Bad_float_h;91;2
#else;125;1
#ifndef __MATH_H__;128;1
#ifndef CONST;132;2
#ifdef Unsigned_Shifts;139;1
#else;141;1
#if defined(IEEE_LITTLE_ENDIAN) + defined(IEEE_BIG_ENDIAN) + defined(VAX) + defined(IBM) != 1;144;1
#ifdef IEEE_LITTLE_ENDIAN;152;1
#else;155;1
#if defined(IEEE_LITTLE_ENDIAN) + defined(VAX) + defined(__arm__);159;1
#else;161;1
#if defined(IEEE_LITTLE_ENDIAN) + defined(IEEE_BIG_ENDIAN);164;1
#else;191;2
#ifndef IEEE_Arith;244;1
#ifdef RND_PRODQUOT;247;2
#else;255;1
#ifndef Just_16;261;2
#ifdef ZTS;276;1
#else;281;1
#ifdef DEBUG;285;1
#ifdef ZTS;292;1
#ifdef ZTS;301;1
#ifdef Pack_32;371;1
#ifdef Pack_32;379;1
#else;385;1
#ifdef Pack_32;487;1
#ifdef Pack_32;511;1
#else;543;1
#ifdef Pack_32;570;1
#else;574;1
#ifdef Pack_32;635;1
#else;637;1
#ifdef Pack_32;652;1
#else;665;1
#ifdef DEBUG;692;1
#ifdef Pack_32;718;1
#ifdef Pack_32;746;1
#else;765;1
#ifndef Sudden_Underflow;792;1
#ifdef IBM;795;1
#ifndef Sudden_Underflow;800;1
#ifdef KR_headers;819;1
#else;821;1
#ifdef VAX;828;1
#else;830;1
#ifdef DEBUG;837;1
#ifdef Pack_32;842;1
#else;859;1
#ifdef VAX;876;1
#else;879;1
#ifdef VAX;891;1
#ifdef VAX;895;1
#else;898;1
#ifdef Pack_32;902;1
#else;904;1
#ifdef Sudden_Underflow;910;2
#else;915;1
#ifdef Pack_32;919;2
#else;938;2
#ifndef Sudden_Underflow;980;1
#ifdef IBM;983;1
#else;986;1
#ifndef Sudden_Underflow;990;2
#ifdef Pack_32;1010;1
#else;1012;1
#ifdef IBM;1015;1
#else;1027;1
#ifdef VAX;1042;1
#ifdef IEEE_Arith;1046;1
#else;1050;2
#ifdef Pack_32;1067;1
#ifdef DEBUG;1072;1
#ifdef DEBUG;1083;1
#ifdef Pack_32;1091;1
#else;1103;1
#ifdef Pack_32;1127;1
#else;1139;1
#ifndef Sudden_Underflow;1186;1
#if defined(IEEE_Arith) + defined(VAX);1201;2
#ifdef IBM;1216;1
#ifdef Sudden_Underflow;1224;1
#else;1226;1
#ifdef IBM;1232;1
#ifdef IBM;1237;1
#ifndef Sudden_Underflow;1241;1
#ifndef No_leftright;1363;1
#ifndef No_leftright;1398;1
#ifdef Check_FLT_ROUNDS;1418;1
#ifndef Sudden_Underflow;1450;1
#ifdef IBM;1453;1
#else;1455;1
#ifndef Sudden_Underflow;1503;1
#ifdef Pack_32;1514;1
#else;1517;1
#ifndef ROUND_BIASED;1572;1
#ifndef ROUND_BIASED;1583;1
#ifndef RND_PRODQUOT;1788;1
#ifdef VAX;1796;1
#else;1798;1
#ifdef VAX;1808;1
#else;1817;1
#ifndef Inaccurate_Divide;1824;1
#ifndef Bad_float_h;1840;1
#else;1842;2
#ifdef Sudden_Underflow;1921;2
#else;1927;1
#ifdef IBM;1976;1
#ifdef Sudden_Underflow;1986;2
#else;1995;1
#ifdef IBM;2000;1
#else;2002;1
#ifndef ROUND_BIASED;2006;1
#ifndef ROUND_BIASED;2012;2
#ifndef Sudden_Underflow;2027;1
#ifdef Check_FLT_ROUNDS;2045;1
#else;2054;1
#ifdef Sudden_Underflow;2077;2
#else;2103;1
#ifdef ZTS;5;1
#ifdef ZTS;15;1
#ifdef ZTS;25;1
#ifdef ZTS;31;1
#ifdef ZTS;37;1
#ifdef ZTS;46;1
#ifdef ZTS;58;1
#ifdef ZTS;107;1
#if ZEND_DEBUG;267;1
#ifdef ZTS;7;1
#if ZEND_DEBUG;54;1
#ifdef ZEND_WIN32;9;1
#elif SIZEOF_LONG_LONG_INT == 8;12;1
#elif SIZEOF_LONG_LONG == 8;15;1
#else;18;1
#ifdef _WIN64;21;1
#else;24;1
#if ZEND_DEBUG;129;1
#if ZEND_DEBUG;32;1
#else;41;1
#ifdef TSRM_WIN32;13;2
#ifndef S_IFLNK;29;1
#ifdef NETWARE;32;1
#ifndef HAVE_REALPATH;35;1
#if (defined(TSRM_WIN32) || defined(NETWARE)) && defined(ZTS);40;1
#ifdef ZTS;43;1
#else;45;1
#ifndef TSRM_WIN32;49;1
#else;51;1
#ifndef S_ISDIR;54;1
#ifndef S_ISREG;57;1
#ifdef TSRM_WIN32;60;1
#elif defined(NETWARE);71;1
#else;73;1
#ifndef IS_DIRECTORY_UP;76;1
#ifndef IS_DIRECTORY_CURRENT;79;1
#ifndef IS_DIR_OK;83;1
#ifdef TSRM_WIN32;88;1
#else;90;1
#ifdef TSRM_WIN32;93;2
#ifdef NETWARE;323;1
#else;334;1
#ifdef TSRM_WIN32;341;1
#ifdef ZTS;347;1
#else;349;1
#if (defined(TSRM_WIN32) || defined(NETWARE)) && defined(ZTS);352;1
#ifndef ZTS;358;1
#if (defined(TSRM_WIN32) || defined(NETWARE)) && defined(ZTS);361;1
#ifdef TSRM_WIN32;396;1
#ifdef PHP_WIN32;431;1
#else;448;1
#ifdef PHP_WIN32;476;1
#else;478;1
