branch;line;nd
#if SM_HEAP_CHECK;158;1
#if defined(SM_OS_NAME) && defined(__STDC__);161;1
#if SM_VA_STD;164;1
#if USEKSTAT;167;1
#if USEPROCMEMINFO;170;1
#if USESWAPCTL;173;1
#if _FFR_DEBUG_PID_TIME;5;1
#if _FFR_DEBUG_PID_TIME;40;1
#if SM_VA_STD;45;1
#else;47;1
#if _FFR_DEBUG_PID_TIME;56;1
#if NAMED_BIND;8;1
#if LDAPMAP;11;1
#if NAMED_BIND;48;1
#if LDAPMAP;104;2
#if LDAPMAP;155;1
#if SM_VA_STD;245;1
#else;249;1
#if SM_VA_STD;353;1
#else;357;1
#if 0;33;1
#if SM_RPOOL;70;1
#if SM_RPOOL;149;1
#if SM_VA_STD;8;1
#else;10;1
#if SM_VA_STD;8;1
#else;10;1
#if SM_HEAP_CHECK;18;1
#if SM_HEAP_CHECK;23;1
#if !SM_HEAP_CHECK;51;1
#else;97;2
#if NETINET6;3;1
#if LDAPMAP;4;3
#if !SM_CONF_MEMCHR;2;1
#ifndef FDSET_CAST;56;1
#if SM_IO_MAX_BUF_FILE > 0;61;1
#if SM_IO_MAX_BUF > 0 || SM_IO_MIN_BUF > 0;65;3
# ifdef EX_OK;18;1
#if LDAPMAP;22;2
#if LDAPMAP;37;2
#if LDAPMAP;48;2
#if _FFR_HANDLE_ISO8859_GECOS;123;1
#if _FFR_HANDLE_ISO8859_GECOS;162;1
#ifdef HESIOD;184;1
#if _FFR_USE_GETPWNAM_ERRNO;198;1
#if LDAPMAP;212;3
#if USESWAPCTL;5;1
#elif USEKSTAT;37;1
#elif USEPROCMEMINFO;84;1
#else;132;1
#ifdef MPE;3;1
#if NETINFO;3;2
#if _FFR_PERF_RPOOL;8;1
#if SM_HEAP_CHECK;46;1
#else;53;1
#if _FFR_PERF_RPOOL;74;1
#if _FFR_PERF_RPOOL;83;1
#if SM_HEAP_CHECK;89;1
#else;96;1
#if _FFR_PERF_RPOOL;117;1
#if _FFR_PERF_RPOOL;128;1
#if _FFR_PERF_RPOOL;161;1
#if _FFR_PERF_RPOOL;219;1
#if DO_NOT_USE_STRCPY;253;1
#if SM_CONF_SEM;3;2
#if SM_CONF_SHM;3;1
#if SM_CONF_SETITIMER;3;1
# if defined(SA_RESTART) || (!defined(SYS5SIGNALS) && !defined(BSD4_3));21;1
# ifdef SA_RESTART;24;2
# else;36;3
# ifdef BSD4_3;56;2
# else;61;2
# ifdef BSD4_3;84;1
# else;86;2
#if SM_CONF_SETITIMER;111;1
#if SM_CONF_SETITIMER;139;1
#else;145;1
# ifdef BSD4_3;154;2
# else;171;2
#if SM_IO_BINARY != 0;36;1
#if SM_VA_STD;9;1
#else;11;1
#if SM_VA_STD;21;1
#else;23;1
#ifdef O_BINARY;52;1
#ifdef O_BINARY;238;1
#if SM_VA_STD;256;1
#else;258;1
#if DO_NOT_USE_STRCPY;27;1
#if !defined(ERRLIST_PREDEFINED);9;1
#if !HASSTRERROR;13;1
#if SM_VA_STD;10;1
#else;12;1
#if SM_RPOOL;124;1
#else;126;1
#if !SM_RPOOL;180;1
#ifdef __STDC__;70;1
#else;72;1
#if 0;112;1
#ifdef SM_RPOOL;8;1
#if SM_CONF_SETITIMER;7;1
#if DEBUG;100;1
#if SM_CONF_BROKEN_STRTOD;32;1
#else;40;1
#if SM_HEAP_CHECK;8;1
#else;11;1
#if DEBUG;41;1
#if NETINET6;4;1
#else;50;1
#if DEBUG;43;1
#if !SM_CONF_BROKEN_SIZE_T;17;1
#if SM_CONF_SEM;4;2
#else;312;1
#if SM_CONF_SHM;4;1
#else;189;1
#if 0;24;1
#if 0;38;1
#if SM_CONF_TEST_LLONG;26;1
#ifdef QUAD_MAX;56;1
#if SM_VA_STD;125;1
#else;127;1
#if HASSNPRINTF;312;1
#else;315;1
#if HASSNPRINTF;319;1
#else;322;1
#if SM_CONF_BROKEN_SIZE_T;361;1
#else;364;1
#if 1;591;1
#else;593;1
#if !HASFLOCK;32;2
#else;65;2
#ifdef NEWDB;102;1
#else;104;2
#ifdef NEWDB;115;2
#else;125;1
#ifdef NDBM;131;1
#else;136;1
#ifdef NDBM;261;1
#ifdef NEWDB;264;1
#if (DB_VERSION_MAJOR == 1);8;2
#if (DB_VERSION_MAJOR >= 2);8;2
#ifdef NDBM;8;2
#if NETINFO;11;1
#if NETINFO;25;1
#if NETINFO;37;1
#ifdef __STDC__;5;1
#else;7;1
#ifdef __STDC__;26;1
#else;28;1
#if !HASFLOCK;10;1
#else;28;1
# if HASLSTAT;37;1
# else;40;1
# ifdef SUID_ROOT_FILES_OK;50;1
# else;52;1
# ifdef SUID_ROOT_FILES_OK;60;1
# else;62;1
# if HASLSTAT;91;1
