guard;line;td
#if defined HAVE_STDINT_H || defined _LIBC;24;2
#if defined _LIBC;28;1
#ifndef GAWK;36;1
#if !defined _LIBC && !defined HAVE_ISBLANK && !defined isblank;37;3
#ifdef _LIBC;47;1
# ifndef _RE_DEFINE_LOCALE_FUNCTIONS;48;1
#if (HAVE_LIBINTL_H && ENABLE_NLS) || defined _LIBC;55;3
# ifdef _LIBC;57;1
#ifndef gettext_noop;64;1
#ifndef SIZE_MAX;67;1
#ifndef NO_MBSUPPORT;70;1
#ifndef MB_CUR_MAX;73;1
#if (defined MBS_SUPPORT) || _LIBC;76;2
#if __GNUC__ >= 3;79;1
# ifdef inline;83;1
#ifndef _LIBC;92;1
# ifdef __wctype;93;1
# ifdef __iswctype;97;1
#ifdef __GNUC__;109;1
#ifdef RE_ENABLE_I18N;166;1
#ifdef RE_ENABLE_I18N;198;1
# ifdef _LIBC;202;1
# ifdef _LIBC;205;1
# ifdef _LIBC;208;1
#ifdef RE_ENABLE_I18N;230;1
#if __GNUC__ >= 2;236;1
#ifdef RE_ENABLE_I18N;244;1
#ifdef RE_ENABLE_I18N;255;1
#ifndef _LIBC;284;1
# ifdef __i386__;285;1
#ifndef NOT_IN_libc;291;1
# ifdef RE_ENABLE_I18N;295;1
#ifndef _LIBC;317;1
# if HAVE_ALLOCA;318;1
# if (_MSC_VER);319;1
#if defined _LIBC || (defined __STDC_VERSION__ && __STDC_VERSION__ >= 199901L);421;2
#ifdef DEBUG;493;1
#if defined _LIBC;496;1
#ifdef RE_ENABLE_I18N;543;1
# ifndef NOT_IN_libc;564;1
# ifdef _LIBC;569;1
#ifdef RE_ENABLE_I18N;55;1
#ifdef RE_ENABLE_I18N;121;1
#ifdef RE_ENABLE_I18N;162;1
# ifdef _LIBC;166;1
#ifdef _LIBC;213;1
# if SHLIB_COMPAT (libc, GLIBC_2_0, GLIBC_2_3_4);216;3
#ifdef _LIBC;239;1
#ifdef _LIBC;250;1
#ifdef _LIBC;262;1
#ifdef _LIBC;274;1
#ifdef _LIBC;456;1
#if defined _REGEX_RE_COMP || defined _LIBC;459;2
# ifdef _LIBC;461;1
#if defined _LIBC || (defined __STDC_VERSION__ && __STDC_VERSION__ >= 199901L);483;2
#if !(defined _LIBC || (defined __STDC_VERSION__ && __STDC_VERSION__ >= 199901L));491;2
#ifdef DEBUG;501;1
#ifdef RE_ENABLE_I18N;621;1
#ifdef DEBUG;660;1
#ifdef RE_ENABLE_I18N;681;1
#ifdef DEBUG;730;1
#ifdef DEBUG;962;1
#ifdef RE_ENABLE_I18N;1011;1
#ifdef DEBUG;1111;1
#ifdef HAVE_ALLOCA;1126;1
#ifdef DEBUG;1260;1
#ifdef DEBUG;1309;1
#ifdef RE_ENABLE_I18N;1313;1
#ifdef RE_ENABLE_I18N;1771;1
#ifdef RE_ENABLE_I18N;1794;1
#ifdef RE_ENABLE_I18N;1967;1
#ifdef DEBUG;2003;1
#ifdef DEBUG;2057;1
#ifdef RE_ENABLE_I18N;2419;1
#ifdef DEBUG;2428;1
#ifdef RE_ENABLE_I18N;2432;1
#ifdef DEBUG;2492;1
#ifdef HAVE_ALLOCA;2659;1
#ifdef HAVE_ALLOCA;2694;1
#ifdef RE_ENABLE_I18N;2842;1
#ifdef RE_ENABLE_I18N;2853;1
#ifdef RE_ENABLE_I18N;2889;1
#ifdef RE_ENABLE_I18N;2908;1
#ifdef RE_ENABLE_I18N;2969;1
# ifdef _LIBC;3044;1
# ifdef _LIBC;3068;1
#if __GNUC__ >= 2;3150;1
# ifdef _LIBC;3181;1
#ifdef RE_ENABLE_I18N;3248;1
#ifdef RE_ENABLE_I18N;3291;1
#ifdef RE_ENABLE_I18N;3304;1
#ifdef DEBUG;3425;1
#ifndef SNPRINTF_SIZE_CORR;2;1
#if defined(WIN32) && (!defined(__GNUC__) || __GNUC__ < 4);3;2
#if defined(NO_STRTOULL);4;1
#if defined(NO_STRTOULL);4;1
#if defined(HAVE_DEV_TTY) || defined(GIT_WINDOWS_NATIVE);5;2
#ifdef HAVE_DEV_TTY;13;1
#elif defined(GIT_WINDOWS_NATIVE);42;1
#ifndef FORCE_TEXT;73;1
#if !defined(__MINGW32__);4;1
#ifndef _NO_OLDNAMES;8;1
#ifndef _MODE_T_;3;1
#ifndef _NO_OLDNAMES;6;1
#ifndef _SSIZE_T_;10;1
#ifndef _OFF_T_;13;1
#ifndef _NO_OLDNAMES;16;1
#ifndef _NO_OLDNAMES;20;1
#ifndef WIN32_LEAN_AND_MEAN;3;1
#ifndef GIT_WINDOWS_NATIVE;3;1
#ifdef __MINGW32__;12;1
#ifndef NO_IPV6;253;1
#ifdef GNOME_KEYRING_DEFAULT;6;1
#if GLIB_MAJOR_VERSION == 2 && GLIB_MINOR_VERSION < 8;39;2
#ifdef NATIVE_CRLF;19;1
#ifndef HOST_NAME_MAX;7;1
#ifdef NO_INITGROUPS;10;1
#ifndef NO_IPV6;413;1
#ifndef NO_IPV6;501;1
#ifndef NO_IPV6;579;1
#ifdef NO_IPV6;619;1
#ifndef NO_IPV6;625;1
#ifndef NO_IPV6;638;1
#ifdef IPV6_V6ONLY;668;1
#ifndef NO_IPV6;792;1
#ifdef NO_POSIX_GOODIES;813;1
#ifdef GIT_WINDOWS_NATIVE;31;1
#ifdef NO_FAST_WORKING_DIRECTORY;17;1
#if DIFF_DEBUG;3309;1
#if DIFF_DEBUG;81;1
#ifndef DEFAULT_EDITOR;5;1
#ifndef OBJECT_CREATION_MODE;45;1
#ifndef ewah_malloc;3;1
#ifndef ewah_realloc;6;1
#ifndef ewah_calloc;9;1
#ifdef __GNUC__;21;1
#ifdef RUNTIME_PREFIX;9;1
#ifdef RUNTIME_PREFIX;17;1
#ifndef SIGUSR1;293;1
#ifndef NO_GETTEXT;5;1
# ifdef HAVE_LIBCHARSET_H;8;1
#ifdef GETTEXT_POISON;15;1
#ifndef NO_GETTEXT;24;1
#if defined(_) || defined(Q_);3;2
#ifndef NO_GETTEXT;6;1
# ifdef gettext;9;1
# ifdef ngettext;13;1
#ifndef NO_GETTEXT;19;1
#ifdef GETTEXT_POISON;31;1
#ifndef FLEX_ARRAY;4;1
