branch;line;nd
#ifdef LDAP_MEMORY_DEBUG;111;2
#else;131;1
#ifdef LDAP_MEMORY_DEBUG;156;2
#else;177;1
#ifdef LDAP_MEMORY_DEBUG;206;2
#else;235;1
#ifdef LDAP_MEMORY_DEBUG;448;1
#ifdef LDAP_MEMORY_DEBUG;478;1
#ifdef HAVE_WINSOCK2;2;1
#elif defined(HAVE_WINSOCK);4;1
#ifdef HAVE_WINSOCK2;58;1
#ifdef LDAP_MEMORY_DEBUG;28;1
#else;31;1
#ifdef LDAP_MEMORY_DEBUG;98;1
#else;101;1
#ifdef HAVE_IO_H;9;1
#if defined( HAVE_FCNTL_H );12;1
#if defined( HAVE_SYS_FILIO_H );15;1
#elif defined( HAVE_SYS_IOCTL_H );17;1
#ifndef LBER_MIN_BUFF_SIZE;21;1
#ifndef LBER_MAX_BUFF_SIZE;24;1
#ifndef LBER_DEFAULT_READAHEAD;27;1
#ifdef LDAP_PF_LOCAL_SENDMSG;103;1
#if 0;217;1
#ifdef EINTR;243;1
#ifdef HAVE_FCNTL;258;1
#elif defined( FIONBIO );266;1
#ifdef EINTR;324;1
#ifdef EINTR;341;1
#if defined(MACOS);353;1
#elif defined( HAVE_PCNFS ) ||    defined( HAVE_WINSOCK ) || defined ( __BEOS__ );356;1
#elif defined( HAVE_NCSA );358;1
#else;360;1
#if defined(MACOS);369;1
#elif defined( HAVE_PCNFS)  || defined( HAVE_WINSOCK) || defined ( __BEOS__ );373;1
#elif defined(HAVE_NCSA);375;1
#elif defined(VMS);377;1
#else;381;1
#ifdef EINTR;461;1
#ifdef LDAP_PF_LOCAL_SENDMSG;518;1
#ifdef LDAP_CONNECTIONLESS;652;2
#if !defined(HAVE_VSNPRINTF) && !defined(HAVE_EBCDIC);7;1
#ifndef HAVE_SNPRINTF;33;1
#ifdef HAVE_EBCDIC;44;1
#ifdef LDAP_CONNECTIONLESS;111;1
#ifdef LDAP_API_INFO_VERSION;12;1
#else;15;1
#ifdef LDAP_FEATURE_INFO_VERSION;19;1
#else;21;1
#ifdef LDAP_API_VERSION;25;1
#else;27;1
#ifdef LDAP_VERSION;30;1
#else;32;1
#ifdef LDAP_VERSION_MIN;35;1
#else;37;1
#ifdef LDAP_VERSION_MAX;40;1
#else;42;1
#ifdef LDAP_VENDOR_NAME;45;1
#else;47;1
#ifdef LDAP_VENDOR_VERSION;50;1
#else;52;1
#ifdef LDAP_OPT_API_FEATURE_INFO;75;1
#else;95;1
#if 0;147;1
#ifdef HAVE_GSSAPI;16;1
#ifdef HAVE_GSSAPI;37;1
#ifdef HAVE_LIMITS_H;10;1
#ifdef HAVE_CYRUS_SASL;14;3
#else;961;1
#ifdef HAVE_ARPA_NAMESER_H;9;1
#ifdef HAVE_RESOLV_H;12;1
#ifdef HAVE_RES_QUERY;128;3
#else;231;1
#ifdef LDAP_X_TXN;77;1
#ifdef HAVE_FETCH;7;1
#ifdef HAVE_FETCH;37;1
#else;39;1
#if 0;350;1
#if 0;462;1
#ifdef PRETTY_ESCAPE;1295;1
#ifdef PRETTY_ESCAPE;1326;2
#else;1336;1
#ifdef PRETTY_ESCAPE;1369;2
#else;1375;1
#ifdef PRETTY_ESCAPE;1393;1
#ifdef DC_IN_UFN;1991;1
#ifdef DC_IN_UFN;2001;1
#ifdef DC_IN_UFN;2015;1
#ifdef DC_IN_UFN;2030;1
#ifdef HAVE_LIMITS_H;10;1
#ifdef HAVE_GSSAPI;14;2
#else;795;1
#ifdef HAVE_GETEUID;4;1
#ifdef HAVE_LIMITS_H;11;1
#if 0;72;1
#ifdef HAVE_CYRUS_SASL;75;1
#ifdef HAVE_GSSAPI;87;1
#ifdef HAVE_TLS;92;2
#ifdef HAVE_CYRUS_SASL;201;1
#ifdef HAVE_GSSAPI;206;1
#ifdef HAVE_TLS;211;1
#ifdef HAVE_CYRUS_SASL;331;1
#ifdef HAVE_GSSAPI;336;1
#ifdef HAVE_TLS;341;1
#if defined(__GNUC__);366;1
#if defined(HAVE_WINSOCK) || defined(HAVE_WINSOCK2);381;1
#if defined(HAVE_TLS) || defined(HAVE_CYRUS_SASL);384;1
#ifdef HAVE_CYRUS_SASL;390;1
#ifdef HAVE_TLS;396;1
#ifdef LDAP_R_COMPILE;402;1
#if !defined(__GNUC__) && !defined(PIC);422;1
#ifdef LDAP_CONNECTIONLESS;430;1
#ifdef HAVE_CYRUS_SASL;435;1
#ifdef HAVE_TLS;447;1
#if defined(HAVE_TLS) || defined(HAVE_CYRUS_SASL);459;1
#ifdef HAVE_WINSOCK2;469;1
#elif defined(HAVE_WINSOCK);483;1
#if defined(HAVE_TLS) || defined(HAVE_CYRUS_SASL);490;1
#ifndef HAVE_POLL;501;1
#ifdef HAVE_CYRUS_SASL;508;1
#ifdef HAVE_GETEUID;519;1
#ifdef LDAP_R_COMPILE;3;1
