Class,Methods,Over-exposed methods
UseRichFormattingAction in freemind::modes::mindmapmode::actions (Class),1,0
anonymous(Comparator) in freemind::view::mindmapview::MapView.getSelectedNodesSortedByY() (Class),1,0
DoAutomaticSave in freemind::modes::mindmapmode::MindMapMapModel (Class),2,0
MapModuleChangeObserverCompound in freemind::controller::MapModuleManager (Class),9,1
DocumentationAction in freemind::controller::Controller (Class),2,0
FilterTextDocumentListener in accessories::plugins::time::TimeList (Class),6,0
NodeViewFactory in freemind::view::mindmapview (Class),11,0
CancelAction in freemind::view::mindmapview::EditNodeBase::EditDialog (Class),2,0
anonymous(ErrorHandler) in plugins::script::ScriptingEngine.performExternalScript() (Class),1,0
MapView in freemind::view::mindmapview (Class),69,5
ExportDialog in accessories::plugins::util::xslt (Class),3,0
AttributeChanger in freemind::modes::mindmapmode::attributeactors::MindMapModeAttributeController (Class),2,0
ExportBranchToHTMLAction in freemind::modes::mindmapmode::MindMapController (Class),2,0
FlatNodeTableKeyListener in accessories::plugins::time::TimeList (Class),4,0
anonymous(EditHandler) in freemind::modes::viewmodes::ViewControllerAdapter.startupController() (Class),1,0
EditLongAction in freemind::modes::mindmapmode::MindMapController (Class),2,1
FreemindAction in freemind::modes::mindmapmode::actions (Class),4,1
anonymous(EditNodeBase.EditControl) in freemind::modes::mindmapmode::actions::EditAction.edit() (Class),3,1
EditNodeBase in freemind::view::mindmapview (Class),17,1
SignedScriptHandler in plugins::script (Class),5,0
MenuItemAdder in freemind::controller::StructuredMenuHolder (Class),4,0
anonymous(Runnable) in freemind::controller::printpreview::BrowseAction.BrowseAction() (Class),1,0
DefaultLocalLinkConverter in freemind::controller::Controller (Class),2,0
TimeList in accessories::plugins::time (Class),16,1
EdgeColorAction in freemind::modes::mindmapmode::actions (Class),6,1
LastOpenedList in freemind::controller (Class),8,0
NodeDownAction in freemind::modes (Class),2,0
Key in freemind::preferences::layout::KeyEventTranslator (Class),4,0
HookDescriptorRegistration in freemind::extensions (Class),6,0
NodeHook in freemind::extensions (Class),3,0
ArrowLinkAdapter in freemind::modes (Class),13,5
StructuredMenuHolder in freemind::controller (Class),20,0
ClosingListener in freemind::modes::mindmapmode::attributeactors::AttributeManagerDialog (Class),2,0
anonymous(AbstractAction) in accessories::plugins::time::TimeList.startupMapHook() (Class),1,0
NodeActorXml in freemind::modes::mindmapmode::actions (Class),1,0
FreeMindPopupMenu in freemind::controller (Class),7,1
anonymous(CaretListener) in plugins::script::ScriptEditorPanel.ScriptEditorPanel() (Class),1,0
anonymous(WindowAdapter) in plugins::script::ScriptEditorPanel.ScriptEditorPanel() (Class),1,0
JDayChooser in accessories::plugins::time (Class),52,15
SortedMapListModel in freemind::controller::filter::util (Class),13,1
ConditionFactory in freemind::controller::filter::condition (Class),11,0
FreeMind in freemind::main (Class),49,1
NodeHookAction in freemind::modes::mindmapmode::actions (Class),16,2
CompoundActionHandler in freemind::modes::mindmapmode::actions (Class),4,1
NodeCoordinate in freemind::modes::mindmapmode::actions::PasteAction (Class),3,0
anonymous(ActionListener) in freemind::common::ColorProperty.layout() (Class),1,0
EditDialog in freemind::view::mindmapview::EditNodeBase (Class),9,3
NodeViewVisitor in freemind::view::mindmapview (Class),1,0
NodeLifetimeListener in freemind::modes::ModeController (Class),3,0
