Class,Methods,Over-exposed methods
PriorityMatcher in edu::umd::cs::findbugs::filter (Class),6,0
InstructionScannerDriver in edu::umd::cs::findbugs (Class),3,0
JAIFSyntaxException in edu::umd::cs::findbugs::jaif (Class),2,0
AnnotationArrayVisitor in edu::umd::cs::findbugs::classfile::analysis::AnnotationValue (Class),8,0
ObligationSet in edu::umd::cs::findbugs::ba::obl (Class),12,2
BaseTableModelListener in edu::umd::cs::findbugs::gui::DefaultSortedTableModel (Class),2,0
AppNameAttribute in edu::umd::cs::findbugs::ml::ConvertToARFF (Class),6,1
FindFieldSelfAssignment in edu::umd::cs::findbugs::detect (Class),4,0
SystemProperties in edu::umd::cs::findbugs (Class),15,1
anonymous(DelegatingBugReporter) in edu::umd::cs::findbugs::FindBugs2.execute() (Class),1,0
anonymous(Iterable) in edu::umd::cs::findbugs::ba::CFG.locations() (Class),1,0
FindSqlInjection in edu::umd::cs::findbugs::detect (Class),18,0
BuildCheckReturnAnnotationDatabase in edu::umd::cs::findbugs::detect (Class),5,0
WarningPropertyUtil in edu::umd::cs::findbugs::props (Class),7,0
anonymous(Runnable) in edu::umd::cs::findbugs::updates::UpdateChecker.waitForCompletion() (Class),1,0
Scanner in edu::umd::cs::findbugs::ba::OpcodeStackScanner (Class),5,0
TrainUnconditionalDerefParams in edu::umd::cs::findbugs::detect (Class),3,0
anonymous(CloudFilter) in edu::umd::cs::findbugs::gui2::ViewFilter::CloudFilter (Class),1,0
DominatorsAnalysis in edu::umd::cs::findbugs::ba (Class),3,0
BytecodeScanner in edu::umd::cs::findbugs::ba (Class),5,0
MatchResult in edu::umd::cs::findbugs::ba::bcp (Class),3,0
anonymous(FirstSeenFilter) in edu::umd::cs::findbugs::gui2::ViewFilter::FirstSeenFilter (Class),1,0
anonymous(javax.swing.event.HyperlinkListener) in edu::umd::cs::findbugs::gui::AboutDialog.initComponents() (Class),1,0
StringAppendState in edu::umd::cs::findbugs::detect::FindSqlInjection (Class),31,1
CommandLine in edu::umd::cs::findbugs::workflow::RebornIssues (Class),3,0
anonymous(SourceFileDataSource) in edu::umd::cs::findbugs::ba::SourceFinder::InMemorySourceRepository.getDataSource() (Class),3,0
anonymous(Runnable) in edu::umd::cs::findbugs::gui2::DisplayNonmodelMessage.<Initializer>() (Class),1,0
Tokenizer in edu::umd::cs::findbugs (Class),7,1
Callback in edu::umd::cs::findbugs::ba::BytecodeScanner (Class),1,0
NullValueUnconditionalDeref in edu::umd::cs::findbugs::ba::npe (Class),7,2
PreorderVisitorTest in edu::umd::cs::findbugs::visitclass (Class),1,0
InterproceduralCallGraphEdge in edu::umd::cs::findbugs::ba::ch (Class),1,0
XPathAttributeCreator in edu::umd::cs::findbugs::ml::ConvertToARFF::C2ACommandLine (Class),1,0
ClassDescriptor in edu::umd::cs::findbugs::classfile (Class),26,0
TestMatcher in edu::umd::cs::findbugs::filter::NotMatcherTest (Class),3,0
anonymous(FileFilter) in edu::umd::cs::findbugs::classfile::impl::ClassPathBuilder.addWorkListItemsForExtDir() (Class),1,0
TextUIBugReporter in edu::umd::cs::findbugs (Class),19,1
Scanner in edu::umd::cs::findbugs::ba::PutfieldScanner (Class),6,0
Checker in edu::umd::cs::findbugs::internalAnnotations::SlashedClassName (Class),2,0
BugInstanceTest in edu::umd::cs::findbugs (Class),18,0
anonymous(java.awt.event.ActionListener) in edu::umd::cs::findbugs::gui::FindBugsFrame.initComponents() (Class),1,0
ClassParser in edu::umd::cs::findbugs::classfile::engine (Class),18,0
anonymous(ActionListener) in edu::umd::cs::findbugs::util::TestDesktopIntegration.TestDesktopIntegration() (Class),1,0
anonymous(Thread) in edu::umd::cs::findbugs::gui::RunAnalysisDialog.RunAnalysisDialog() (Class),1,0
FuzzyBugComparator in edu::umd::cs::findbugs (Class),13,0
