Class,Methods,Over-exposed methods
UrlSettingsSource in org::apache::maven::settings::building (Class),5,1
MavenExecutionException in org::apache::maven (Class),4,0
Proxy in org::apache::maven::repository (Class),18,2
PropertyProfileActivatorTest in org::apache::maven::model::profile::activation (Class),13,0
anonymous(ModelCacheTag) in org::apache::maven::model::building::ModelCacheTag.<Initializer>() (Class),4,0
DetectedProfileActivator in org::apache::maven::profiles::activation (Class),2,0
ArtifactRepositoryLayout in org::apache::maven::artifact::repository::layout (Class),5,0
BuildTimestampValueSource in org::apache::maven::model::interpolation (Class),2,0
TestRepositorySystem in org::apache::maven::repository (Class),23,0
ArtifactMetadataSource in org::apache::maven::repository::legacy::metadata (Class),4,0
MavenProjectBuilder in org::apache::maven::project (Class),9,0
MavenExecutionPlanTest in org::apache::maven::lifecycle (Class),6,0
App in org::apache::maven::embedder (Class),1,0
StringSettingsSource in org::apache::maven::settings::building (Class),6,1
MavenMetadata in org::apache::maven::repository::internal (Class),9,1
DefaultPathTranslator in org::apache::maven::project::path (Class),8,1
ContextEnabled in org::apache::maven::plugin (Class),2,0
anonymous(Callable) in org::apache::maven::lifecycle::internal::LifecycleWeaveBuilder.createEPFuture() (Class),1,0
ProjectRealmCache in org::apache::maven::project (Class),6,0
ProjectModelResolver in org::apache::maven::project (Class),7,0
LatestArtifactTransformation in org::apache::maven::repository::legacy::resolver::transform (Class),4,0
LifecycleTaskSegmentCalculatorImplTest in org::apache::maven::lifecycle::internal (Class),2,0
CacheKey in org::apache::maven::plugin::DefaultPluginRealmCache (Class),7,0
EventSpy in org::apache::maven::eventspy (Class),3,0
ArtifactTransferFailedException in org::apache::maven::repository (Class),2,0
SystemStreamLog in org::apache::maven::plugin::logging (Class),20,0
PluginManagerTest in org::apache::maven::plugin (Class),15,0
MissingModuleException in org::apache::maven (Class),3,0
DefaultArtifactHandler in org::apache::maven::artifact::handler (Class),14,1
ArtifactUtilsTest in org::apache::maven::artifact (Class),4,0
WarningResolutionListener in org::apache::maven::artifact::resolver (Class),13,0
DefaultExtensionRealmCache in org::apache::maven::plugin (Class),5,0
AppTest in org::apache::maven (Class),3,0
MavenServiceLocator in org::apache::maven::repository::internal (Class),1,1
ResourceTest in org::apache::maven::model (Class),4,0
DefaultWagonManager in org::apache::maven::artifact::manager (Class),5,0
StringSearchModelInterpolatorTest in org::apache::maven::model::interpolation (Class),18,0
MavenArtifactMetadata in org::apache::maven::repository (Class),16,5
RequirementMatcherFactory in org::apache::maven::toolchain (Class),3,0
DefaultUrlNormalizerTest in org::apache::maven::model::path (Class),7,0
MavenProfilesBuilder in org::apache::maven::profiles (Class),2,0
ExpressionDocumentationException in org::apache::maven::usability::plugin (Class),3,0
DefaultArtifactCollector in org::apache::maven::artifact::resolver (Class),0,0
JdkPrefixProfileActivator in org::apache::maven::profiles::activation (Class),6,1
DefaultModelReader in org::apache::maven::model::io (Class),7,0
EmptyProjectBuildingHelper in org::apache::maven::project (Class),3,0
ProjectClasspathTest in org::apache::maven::project (Class),7,0
MetadataUtils in org::apache::maven::artifact::repository::metadata (Class),1,0
ConflictResolverNotFoundException in org::apache::maven::repository::legacy::resolver::conflict (Class),2,0
DefaultMaven in org::apache::maven (Class),17,0
ExecutionEvent in org::apache::maven::execution (Class),5,0
BuildLogItem in org::apache::maven::lifecycle::internal (Class),11,1
ModelProblemUtils in org::apache::maven::model::building (Class),8,0
ConcurrentBuildLoggerTest in org::apache::maven::lifecycle::internal (Class),1,0
InvalidArtifactRTException in org::apache::maven::artifact (Class),9,2
DefaultProfileActivationContext in org::apache::maven::model::profile (Class),14,0
ExtensionTest in org::apache::maven::model (Class),4,0
Key in org::apache::maven::plugin::PluginDescriptorCache (Class),0,0
Xpp3DomNodeIterator in org::apache::maven::project::harness (Class),8,0
VersionMatcher in org::apache::maven::toolchain::RequirementMatcherFactory (Class),2,0
MavenLifecycleParticipantTest in org::apache::maven (Class),4,0
LegacyLocalRepositoryManager in org::apache::maven::artifact::repository (Class),12,0
