Class,Methods,Over-exposed methods
anonymous(BasicBinder) in org::hibernate::type::descriptor::sql::BlobTypeDescriptor.<Initializer>()::anonymous(BlobTypeDescriptor).getBlobBinder() (Class),1,0
Custom in org::hibernate::test::legacy (Class),4,2
DefaultDeleteEventListener in org::hibernate::event::internal (Class),11,0
Role in org::hibernate::envers::test::integration::inheritance::joined::relation (Class),10,2
JournalingTransactionObserver in org::hibernate::test::common (Class),8,0
MatrixNode in org::hibernate::build::gradle::testing::matrix (Class),6,0
Order in org::hibernate::test::annotations::derivedidentities::bidirectional (Class),11,3
CacheHelper in org::hibernate::cache::infinispan::util (Class),3,0
CustomColumnMapping in org::hibernate::envers::test::integration::reventity (Class),9,0
Mail in org::hibernate::ejb::test::emops (Class),4,0
AbstractServiceRegistryImpl in org::hibernate::service::internal (Class),19,0
RegionFactoryInitiator in org::hibernate::cache::internal (Class),5,2
anonymous(Integrator) in org::hibernate::test::events::CallbackTest.prepareBootstrapRegistryBuilder() (Class),4,0
FromElementType in org::hibernate::hql::internal::ast::tree (Class),37,10
QueryBinder in org::hibernate::cfg::annotations (Class),24,0
BatchedTooManyRowsAffectedException in org::hibernate::jdbc (Class),2,0
ReadEntityAssociatedNotAuditedTest in org::hibernate::envers::test::integration::entityNames::singleAssociatedNotAudited (Class),7,0
anonymous(CascadingAction) in org::hibernate::engine::spi::CascadingAction.<Initializer>() (Class),5,0
ListJoinColumnBidirectionalRefEdEntity in org::hibernate::envers::test::entities::onetomany::detached (Class),12,0
NotAuditedSubclassEntity in org::hibernate::envers::test::integration::superclass::auditedAtSuperclassLevel (Class),9,1
anonymous(Callable) in org::hibernate::test::cache::infinispan::NodeEnvironment.release() (Class),1,0
PrimaryKey in org::hibernate::test::annotations::idmanytoone::CardField (Class),5,1
Light in org::hibernate::test::annotations::xml::ejb3 (Class),1,1
FromElement in org::hibernate::hql::internal::ast::tree (Class),91,8
Person in org::hibernate::envers::test::integration::inheritance::joined::relation (Class),7,1
BidirectionalNoNulls in org::hibernate::envers::test::integration::onetoone::bidirectional (Class),5,0
anonymous(ResultChecker) in org::hibernate::test::querycache::AbstractQueryCacheResultTransformerTest.testJoinWithFetchJoinWithPropAndOwnerProjectedList() (Class),1,0
QueryPlanCache in org::hibernate::engine::query::spi (Class),8,0
A in org::hibernate::test::annotations::xml::hbm (Class),2,0
B2 in org::hibernate::ejb::test::emops::cascade (Class),7,3
ProductId in org::hibernate::test::sql::hand::Product (Class),5,1
SimpleVersionedEntity in org::hibernate::metamodel::binding (Class),8,0
PluralAttributeElementSource in org::hibernate::metamodel::source::binder (Class),1,1
anonymous(VersionValue) in org::hibernate::engine::spi::VersionValue.<Initializer>() (Class),3,0
AbstractEntityManagerTest in org::hibernate::envers::test::performance (Class),14,3
Nameable in org::hibernate::test::legacy (Class),4,0
Parent in org::hibernate::test::annotations::cid (Class),3,1
MethodInjectionTarget in org::hibernate::build::gradle::inject::InjectionAction (Class),3,0
SortedSubMap in org::hibernate::collection::internal::PersistentSortedMap (Class),19,0
Item in org::hibernate::test::cache::ehcache (Class),7,2
Address in org::hibernate::metamodel::source::annotations::entity::EmbeddedIdTest (Class),0,0
Name in org::hibernate::metamodel::source::annotations::xml::mocker::DefaultConfigurationHelperTest (Class),0,0
UnidirectionalMulIdWithNulls in org::hibernate::envers::test::integration::onetoone::unidirectional (Class),4,0
CoreMessageLogger in org::hibernate::internal (Class),383,0
ImplicitResultSetProxyHandler in org::hibernate::engine::jdbc::internal::proxy (Class),6,0
StatelessSessionTest in org::hibernate::test::stateless (Class),5,0
Person in org::hibernate::test::annotations::embedded (Class),1,1
ConfigurationTest in org::hibernate::test::annotations::configuration (Class),1,0
anonymous(ExplicitHibernateTypeSource) in org::hibernate::metamodel::source::hbm::SingularIdentifierAttributeSourceImpl.SingularIdentifierAttributeSourceImpl() (Class),4,0
SerialNumber in org::hibernate::test::annotations::onetoone (Class),7,2
anonymous(BasicBinder) in org::hibernate::type::descriptor::sql::BlobTypeDescriptor.<Initializer>()::anonymous(BlobTypeDescriptor).getBlobBinder() (Class),1,0
StatelessSessionFetchingTest in org::hibernate::test::stateless::fetching (Class),5,0
BigIntegerDescriptorTest in org::hibernate::type::descriptor::java (Class),4,0
StringListEntity in org::hibernate::envers::test::entities::collection (Class),8,0
Closet in org::hibernate::test::annotations::access (Class),0,0
anonymous(AbstractReturningWork) in org::hibernate::id::enhanced::TableGenerator.generate()::anonymous(AccessCallback).getNextValue() (Class),1,0
InjectionPlugin in org::hibernate::build::gradle::inject (Class),1,0
NaturalIdOnManyToOne in org::hibernate::test::annotations::naturalid (Class),5,0
Customer in org::hibernate::test::keymanytoone::bidir::embedded (Class),9,3
Node in org::hibernate::test::onetomany (Class),15,5
Update in org::hibernate::sql (Class),24,0
AbstractEntityCollectionRegionTestCase in org::hibernate::test::cache::infinispan (Class),5,0
HqlSqlWalkerNode in org::hibernate::hql::internal::ast::tree (Class),6,2
StringPropertyValue in org::hibernate::test::any (Class),7,0
WarningHandlerLoggingSupport in org::hibernate::engine::jdbc::spi::SqlExceptionHelper (Class),2,0
Washer in org::hibernate::ejb::test::pack::explicitpar (Class),0,0
EntityNotFoundDelegate in org::hibernate::proxy (Class),1,0
CalendarTypeDescriptor in org::hibernate::type::descriptor::java (Class),9,1
AbstractAssociationCollectionEventTest in org::hibernate::test::event::collection::association (Class),1,0
