Class,Methods,Over-exposed methods
OnlyOneReturnRule in net::sourceforge::pmd::rules::design (Class),2,0
ASTPrimarySuffix in net::sourceforge::pmd::ast (Class),9,2
NamingRulesTest in test::net::sourceforge::pmd::rules::naming (Class),2,0
SuppressedViolation in net::sourceforge::pmd::Report (Class),5,3
StatementAndBraceFinderTest in test::net::sourceforge::pmd::dfa (Class),8,0
AnyTokenizerTest in test::net::sourceforge::pmd::cpd (Class),3,0
ParserCornersTest in test::net::sourceforge::pmd::ast (Class),3,0
AvoidReassigningParameters in net::sourceforge::pmd::rules (Class),3,0
RuleSetNotFoundException in net::sourceforge::pmd (Class),1,0
SignatureDeclareThrowsExceptionTest in test::net::sourceforge::pmd::rules::typeresolution (Class),2,0
AssertionCall in net::sourceforge::pmd::rules::junit::JUnitAssertionsShouldIncludeMessage (Class),1,0
anonymous(java.awt.event.ComponentAdapter) in net::sourceforge::pmd::util::designer::Designer.createRuleXML() (Class),1,0
Dimensionable in net::sourceforge::pmd::ast (Class),2,0
SimpleRenderer in net::sourceforge::pmd::cpd (Class),6,0
UselessAssignment in net::sourceforge::pmd::rules (Class),2,0
ASTFormalParameters in net::sourceforge::pmd::ast (Class),4,1
Usage in net::sourceforge::pmd::dfa::DaaRule (Class),2,0
PositionalIteratorRule in net::sourceforge::pmd::rules::design (Class),5,0
SourceCodePanel in net::sourceforge::pmd::util::viewer::gui (Class),5,1
AvoidInstantiatingObjectsInLoops in net::sourceforge::pmd::rules::optimization (Class),4,0
anonymous(AbstractAction) in net::sourceforge::pmd::util::designer::Designer.makeTextComponentUndoable() (Class),1,0
XPathListener in net::sourceforge::pmd::util::designer::Designer (Class),2,0
VSRenderer in net::sourceforge::pmd::cpd (Class),2,1
Promotion in test::net::sourceforge::pmd::typeresolution::testdata (Class),3,0
anonymous(ItemListener) in net::sourceforge::pmd::cpd::GUI.GUI() (Class),1,0
ClassData in net::sourceforge::pmd::rules::AccessorClassGeneration (Class),8,4
