Class,Methods,Over-exposed methods
SubCategoryAxis in org::jfree::chart::axis (Class),14,0
ChartPanelTests in org::jfree::chart::junit (Class),20,0
DataPackageTests in org::jfree::data::junit (Class),4,0
DatasetInfo in org::jfree::data::general::CombinedDataset (Class),1,0
ChartPanel in org::jfree::chart (Class),115,20
WindDataItem in org::jfree::data::xy (Class),6,3
KeyedValueComparator in org::jfree::data (Class),5,0
StandardDialFrameTests in org::jfree::chart::plot::dial::junit (Class),6,0
DataTimePackageTests in org::jfree::data::time::junit (Class),4,0
WindDataset in org::jfree::data::xy (Class),2,0
JFreeChartTestSuite in org::jfree::chart::junit (Class),2,0
DialValueIndicatorTests in org::jfree::chart::plot::dial::junit (Class),6,0
ClusteredXYBarRendererTests in org::jfree::chart::renderer::xy::junit (Class),10,1
WaferMapRenderer in org::jfree::chart::renderer (Class),16,1
CyclicNumberAxisTests in org::jfree::chart::axis::junit (Class),6,0
AbstractCategoryItemLabelGenerator in org::jfree::chart::labels (Class),14,3
LocalListener in org::jfree::chart::junit::BarChart3DTests (Class),3,0
XYPointerAnnotationTests in org::jfree::chart::annotations::junit (Class),7,0
KeyToGroupMapTests in org::jfree::data::junit (Class),10,0
SegmentedTimelineTests2 in org::jfree::chart::axis::junit (Class),11,0
PlotRenderingInfoTests in org::jfree::chart::plot::junit (Class),5,0
StandardCategoryToolTipGeneratorTests in org::jfree::chart::labels::junit (Class),8,0
LocalListener in org::jfree::chart::junit::LineChartTests (Class),3,0
TimeSeriesChartTests in org::jfree::chart::junit (Class),7,0
CombinedXYPlotDemo1 in org::jfree::experimental::chart::demo (Class),8,2
DialCapTests in org::jfree::chart::plot::dial::junit (Class),6,0
ServletUtilities in org::jfree::chart::servlet (Class),20,2
LabelBlock in org::jfree::chart::block (Class),26,0
anonymous(DefaultBoxAndWhiskerCategoryDataset) in org::jfree::chart::renderer::category::junit::BoxAndWhiskerRendererTests.testBug1572478Horizontal() (Class),2,0
LongNeedleTests in org::jfree::chart::needle::junit (Class),5,0
DefaultPieDatasetTests in org::jfree::data::general::junit (Class),8,0
StandardToolTipTagFragmentGenerator in org::jfree::chart::imagemap (Class),2,0
Regression in org::jfree::data::statistics (Class),6,0
NotOutlierException in org::jfree::chart::renderer (Class),1,0
DefaultIntervalCategoryDataset in org::jfree::data::category (Class),35,5
XYLine3DRenderer in org::jfree::chart::renderer::xy (Class),16,4
State in org::jfree::chart::renderer::xy::XYLineAndShapeRenderer (Class),4,1
CategoryItemEntity in org::jfree::chart::entity (Class),17,0
MeterChartTests in org::jfree::chart::junit (Class),3,0
Segment in org::jfree::chart::axis::SegmentedTimeline (Class),29,11
AbstractXYItemLabelGenerator in org::jfree::chart::labels (Class),17,7
XYBarRendererTests in org::jfree::chart::renderer::xy::junit (Class),12,0
anonymous(SelectionAdapter) in org::jfree::experimental::chart::swt::editor::SWTAxisEditor.SWTAxisEditor() (Class),1,0
BlockBorder in org::jfree::chart::block (Class),14,1
SimpleTimePeriodTests in org::jfree::data::time::junit (Class),10,0
XYImageAnnotation in org::jfree::chart::annotations (Class),15,0
StandardPieSectionLabelGenerator in org::jfree::chart::labels (Class),12,0
BlockBorderTests in org::jfree::chart::block::junit (Class),5,0
CategoryLabelWidthType in org::jfree::chart::axis (Class),5,0
StandardXYToolTipGeneratorTests in org::jfree::chart::labels::junit (Class),7,0
OverlayChangeEvent in org::jfree::chart::event (Class),1,0
TimePeriodValue in org::jfree::data::time (Class),10,3
TimeTableXYDataset in org::jfree::data::time (Class),32,4
IntervalMarkerTests in org::jfree::chart::plot::junit (Class),9,0
OHLCItem in org::jfree::data::time::ohlc (Class),7,6
LineNeedle in org::jfree::chart::needle (Class),6,1
ChartChangeEventType in org::jfree::chart::event (Class),6,0
RendererXYPackageTests in org::jfree::chart::renderer::xy::junit (Class),6,2
ValueHandler in org::jfree::data::xml (Class),6,1
CategoryAnnotation in org::jfree::chart::annotations (Class),1,0
SeriesChangeListener in org::jfree::data::general (Class),1,0
StandardDialScaleTests in org::jfree::chart::plot::dial::junit (Class),6,0
WeekTests in org::jfree::data::time::junit (Class),26,0
PieLabelDistributor in org::jfree::chart::plot (Class),10,1
KeyedValues in org::jfree::data (Class),4,0
GroupedStackedBarRenderer in org::jfree::chart::renderer::category (Class),8,1
SeriesChangeEvent in org::jfree::data::general (Class),2,0
DefaultKeyedValuesDatasetTests in org::jfree::data::general::junit (Class),4,0
LocalListener in org::jfree::chart::junit::StackedAreaChartTests (Class),3,0
LogarithmicAxis in org::jfree::chart::axis (Class),29,3
StandardCategoryItemLabelGeneratorTests in org::jfree::chart::labels::junit (Class),9,0
GridArrangement in org::jfree::chart::block (Class),15,0
ImageTitle in org::jfree::chart::title (Class),13,0
