Class,Methods,Over-exposed methods
Jar in org::apache::tomcat::util::scan (Class),7,0
BaseRedirectorHelperTask in org::apache::catalina::ant (Class),20,2
JJTELParserState in org::apache::el::parser (Class),12,4
XMLStringBuffer in org::apache::jasper::xmlparser (Class),8,1
DeployDescriptor in org::apache::catalina::startup::HostConfig (Class),2,0
SCI in org::apache::catalina::core::TestStandardWrapper (Class),2,0
PrivilegedAddChild in org::apache::catalina::core::ContainerBase (Class),2,0
PersistentValve in org::apache::catalina::valves (Class),5,0
AstEmpty in org::apache::el::parser (Class),3,0
FileMessageFactory in org::apache::catalina::ha::deploy (Class),9,2
MessageDestination in org::apache::catalina::deploy (Class),10,1
JspOutput in org::apache::jasper::compiler::Node (Class),2,0
SCI in org::apache::catalina::startup::TestContextConfigAnnotation (Class),2,0
StartTask in org::apache::catalina::ant (Class),1,0
ErrorReportValve in org::apache::catalina::valves (Class),6,0
SessionCookieConfig in javax::servlet (Class),14,5
Membership in org::apache::catalina::tribes::membership (Class),16,0
GroupMBean in org::apache::catalina::mbeans (Class),6,0
TesterBeanBB in org::apache::el (Class),3,1
ConnectionFuture in org::apache::tomcat::jdbc::pool::ConnectionPool (Class),9,1
TestXxxEndpoint in org::apache::tomcat::util::net (Class),6,0
FixedNotificationFilter in org::apache::tomcat::util::modeler (Class),4,0
TestValidator in org::apache::jasper::compiler (Class),5,0
SSIMediator in org::apache::catalina::ssi (Class),24,5
StackMap in org::apache::tomcat::util::bcel::classfile (Class),7,0
FileMessage in org::apache::catalina::ha::deploy (Class),16,6
RuleSetBase in org::apache::tomcat::util::digester (Class),4,0
HttpUtils in javax::servlet::http (Class),6,0
JMXQueryTask in org::apache::catalina::ant (Class),4,0
TesterRunnable in org::apache::catalina::authenticator::TesterDigestAuthenticatorPerformance (Class),6,2
TimeDateElementBenchmarkTest_Sync in org::apache::catalina::valves::Benchmarks (Class),6,1
DataSourceFactory in org::apache::tomcat::jdbc::pool (Class),7,0
AbstractCatalinaTask in org::apache::catalina::ant (Class),14,2
AsyncStartNoCompleteServlet in org::apache::catalina::core::TestAsyncContextImpl (Class),3,0
TestRemoteIpValve in org::apache::catalina::valves (Class),17,0
PrivilegedForward in org::apache::catalina::core::ApplicationDispatcher (Class),2,0
MbeansDescriptorsSerSource in org::apache::tomcat::util::modeler::modules (Class),7,1
MyList in org::apache::catalina::tribes::test::transport::SocketNioReceive (Class),4,1
TesterBeanAA in org::apache::el (Class),1,1
AstString in org::apache::el::parser (Class),5,1
anonymous(PrivilegedAction) in org::apache::catalina::core::DefaultInstanceManager.getField() (Class),1,0
ApplicationContextFacade in org::apache::catalina::core (Class),59,0
TaskServlet in org::apache::catalina::loader::TestWebappClassLoaderMemoryLeak (Class),3,0
anonymous(PrivilegedAction) in org::apache::catalina::core::DefaultInstanceManager.populateAnnotationsCache() (Class),1,0
PrivilegedSetTccl in org::apache::tomcat::util::net::JIoEndpoint (Class),2,0
ImplicitObjectELResolver in javax::servlet::jsp::el (Class),8,0
PathParamServlet in org::apache::catalina::connector::TestCoyoteAdapter (Class),3,0
VerbatimFormatter in org::apache::juli (Class),2,0
Response in org::apache::catalina::connector (Class),79,15
Wrapper in org::apache::catalina (Class),42,17
Otherwise in org::apache::jasper::tagplugins::jstl::core (Class),1,0
TestRemoteProcessException in org::apache::catalina::tribes::test::channel (Class),4,0
AbstractEndpoint in org::apache::tomcat::util::net (Class),121,16
ContextConfig in org::apache::catalina::startup (Class),57,21
ListenCallback in org::apache::catalina::tribes::io (Class),1,0
ResourceCache in org::apache::naming::resources (Class),20,0
FileUploadException in org::apache::tomcat::util::http::fileupload (Class),7,0
SocketInputBuffer in org::apache::coyote::http11::InternalNioInputBuffer (Class),2,1
Options in org::apache::jasper (Class),31,26
Library in org::apache::tomcat::jni (Class),12,1
DispatchingServlet in org::apache::catalina::core::TestAsyncContextImpl (Class),3,0
FirstPassVisitor in org::apache::jasper::compiler::PageDataImpl (Class),6,1
Expression in org::apache::jasper::compiler::Node (Class),3,0
ExpressionParseTree in org::apache::catalina::ssi (Class),6,1
ResponseFacade in org::apache::catalina::connector (Class),43,3
DataSourceLinkFactory in org::apache::naming::factory (Class),3,0
NioX509KeyManager in org::apache::tomcat::util::net::jsse (Class),8,0
SessionMessageImpl in org::apache::catalina::ha::session (Class),14,3
SCL2 in org::apache::catalina::startup::TestListener (Class),2,0
ByteSequence in org::apache::tomcat::util::bcel::util (Class),2,0
UserMBean in org::apache::catalina::mbeans (Class),8,0
anonymous(PrivilegedAction) in org::apache::jasper::runtime::ProtectedFunctionMapper.getInstance() (Class),1,0
TestTcpFailureDetector in org::apache::catalina::tribes::group::interceptors (Class),7,1
AttributeReader in org::apache::tomcat::util::bcel::classfile (Class),1,0
JspText in org::apache::jasper::compiler::Node (Class),2,0
ErrorDispatcher in org::apache::jasper::compiler (Class),24,0
ServiceRefFactory in org::apache::naming::factory::webservices (Class),3,0
PoolConfiguration in org::apache::tomcat::jdbc::pool (Class),102,46
ConstantPool in org::apache::tomcat::util::bcel::classfile (Class),10,1
AstDiv in org::apache::el::parser (Class),2,0
LocalVariableTable in org::apache::tomcat::util::bcel::classfile (Class),8,0
CrawlerSessionManagerValve in org::apache::catalina::valves (Class),11,0
CustomDefaultServlet in org::apache::catalina::startup::TestContextConfig (Class),3,0
TestSSOnonLoginAndBasicAuthenticator in org::apache::catalina::authenticator (Class),14,0
SocketOutputBuffer in org::apache::coyote::http11::InternalNioOutputBuffer (Class),3,1
StartChild in org::apache::catalina::core::ContainerBase (Class),2,0
ApplicationRequest in org::apache::catalina::core (Class),8,0
anonymous(Runnable) in org::apache::catalina::tribes::membership::McastServiceImpl.memberDataReceived() (Class),1,0
JavacErrorDetail in org::apache::jasper::compiler (Class),10,2
BeanRepository in org::apache::jasper::compiler (Class),4,0
ExceptionUtils in org::apache::tomcat::util (Class),2,0
Pool in org::apache::tomcat::jni (Class),13,0
WebdavStatus in org::apache::catalina::servlets (Class),3,0
SetRootRule in org::apache::tomcat::util::digester (Class),9,0
BenchmarkTest in org::apache::catalina::valves::Benchmarks (Class),3,0
StandardThreadExecutor in org::apache::catalina::core (Class),39,5
AbstractCatalinaCommandTask in org::apache::catalina::ant (Class),8,0
SecurityHolder in org::apache::jasper::compiler::JspRuntimeContext (Class),1,0
ResourceLinkRef in org::apache::naming (Class),4,0
Registry in org::apache::tomcat::util::modeler (Class),36,2
StatementDecoratorInterceptor in org::apache::tomcat::jdbc::pool::interceptor (Class),8,1
BioReceiver in org::apache::catalina::tribes::transport::bio (Class),9,3
ServletRegistration in javax::servlet (Class),3,0
TestInterceptor in org::apache::tomcat::jdbc::pool::interceptor (Class),5,0
TestStandardContextValve in org::apache::catalina::core (Class),2,0
FileCleaningTracker in org::apache::tomcat::util::http::fileupload (Class),8,0
FieldOrMethod in org::apache::tomcat::util::bcel::classfile (Class),7,0
WsFrame in org::apache::catalina::websocket (Class),13,7
anonymous(PrivilegedAction) in org::apache::jasper::runtime::PageContextImpl.getAttribute() (Class),1,0
Choose in org::apache::jasper::tagplugins::jstl::core (Class),1,0
File in org::apache::tomcat::jni (Class),43,0
anonymous(ThreadLocal) in org::apache::tomcat::util::bcel::classfile::Utility.<Initializer>() (Class),1,0
OutputFilter in org::apache::coyote::http11 (Class),5,2
SubclassAllowAllServlet in org::apache::catalina::core::TestStandardWrapper (Class),1,0
TestStatementCache in org::apache::tomcat::jdbc::test (Class),11,0
ArrayELResolver in javax::el (Class),10,0
