No,Spacecraft,Country ranks,Launch date,Sponsor,Sponsoring Agency
1,Vanguard TV-3,(1st civilian),6 Dec 57,Technology,Navy's NRL
2,Explorer 1,(2nd civilian),1 Feb 58,Science & technology,Army's ABMA + JPL & Univ. of Iowa
3,Vanguard TV-3bu,(3rd civilian),5 Feb 58,Technology,Navy's NRL
4,Explorer 2,(4th civilian),5 Mar 58,Science,Army's ABMA + JPL & Univ. of Iowa
5,Vanguard I,(5th civilian),17 Mar 58,Technology,Navy's NRL
6,Explorer 3,(6th civilian),26 Mar 58,Science,Army's ABMA
7,Vanguard TV-5,(7th civilian),29 Apr 58,Technology,Navy's NRL
8,Vanguard SLV-1,(8th civilian),28 May 58,Technology and science,Navy's NRL
9,Vanguard SLV-2,(9th civilian),26 Jun 58,Technology and science,Navy's NRL
10,NOTS 1,(1st military),25 Jul 58,Technology,NA
11,Explorer 4,(10th civilian),26 Jul 58,Earth sciences,Army's ABMA
12,NOTS 2,(2nd military),12 Aug 58,Technology,NA
13,Able 1 / Pioneer 0,(11th civilian),17 Aug 58,Planetary probe,Air Force's BMD
14,NOTS 3,(3rdt military),22 Aug 58,Technology,NA
15,Explorer 5,(12th civilian),24 Aug 58,Earth sciences,Army's ABMA
16,NOTS 4,(4th military),25 Aug 58,Technology,NA
17,NOTS 5,(5th military),26 Aug 58,Technology,NA
18,NOTS 6,(6th military),28 Aug 58,Technology,NA
19,Vanguard SLV-3,(13th civilian),26 Sep 58,Earth sciences,NA
20,Able 2 / Pîoneer 1,(14th civilian),11 Oct 58,Planetary probe,Assigned to NASA (Hq.) delegated to Air Force’s BMD
21,Beacon 1,(15th civilian),23 Oct 58,Technology,NA
22,Pioneer 2,(16th civilian),8 Nov 58,Planetary probe,Assigned to NASA (Hq.) delegated to Air Force’s BMD
23,Able 3 / Pioneer 3,(17th civilian),6 Dec 58,Planetary probe,Assigned to NASA (Hq). delegated to Army’s ABMA
24,Score,(7th military),18 Dec 58,Technology,NA
25,Discoverer 0 / KH-1,(8th military) ,21 Jan 59,Reconnaissance,NA
26,Vanguard II,(18th civilian),17 Feb 59,Earth sciences,NA
27,Discoverer 1 / KH-1,(9th military),28 Feb 59,Reconnaissance,NA
28,Pioneer 4,(19th civilian),3 Mar 59,Planetary probe,Assigned to NASA (Hq.) delegated to Army’s ABMA
29,Discoverer 2 / KH-1,(10th military),13 Apr 59,Reconnaissance,NA
30,Vanguard SLV 5,(20th civilian),14 Apr 59,Earth sciences,NA
31,Discoverer 3 / KH-1,(11th military),3 Jun 59,Reconnaissance,NA
32,Vanguard SLV-6,(21st civilian),22 Jun 59,Earth sciences,NA
33,Discoverer 4 / KH-1,(12th military),25 Jul 59,Reconnaissance,NA
34,Explorer S-1,(22nd civilian),16 Jul 59,Earth sciences,NA
35,Explorer 6 (S-2),(23rd civilian),7 Aug 59,Earth sciences,NASA's GSFC (“First NASA Explorer put into orbit”)
36,Discoverer 5 / KH-1,(13th military),13 Aug 59,Reconnaissance,NA
37,Beacon 2,(24th civilian),15 Aug 59,Earth sciences,NA
38,Discoverer 6 / KH-1,(14th military),19 Aug 59,Reconnaissance,NA
39,Transit 1A,(15th military),17 Sep 59,Navigation,NA
40,Vanguard III,(25th civilian),18 Sep 59,Earth sciences,NA
41,Explorer 7 (S-la),(26th civilian),13 Oct 59,Earth sciences,NASA's GSFC (Built at ABMA)
42,Discoverer 7 / KH-1,(16th military),7 Nov 59,Reconnaissance,NA
43,Discoverer 8 / KH-1,(17th military),20 Nov 59,Reconnaissance,NA
44,Pioneer P-3,(27th civilian),26 Nov 59,Planetary probe,NA
45,Discoverer 9 / KH-1,(18th military),4 Feb 60,Reconnaissance,NA
46,Discoverer 10 / KH-1,(19th military),19 Feb 60,Reconnaissance,NA
47,Midas 1,(20th military),26 Feb 60,Missile early warning,NA
48,Pioneer 5,(28th civilian),11 Mar 60,Planetary probe,NASA's GSFC (and AFBMD)
49,Explorer S-46 / IE-B,(29th civilian),23 Mar 60,Earth sciences,NA
50,Tiros 1,(30th civilian),1 Apr 60,Meteorology,NA
51,Transit 1B,(21st military),13 Apr 60,Navigation,NA
52,GRAB,(22nd military),13 Apr 60,Technology,NA
53,Discoverer 11 / KH-1,(23rd military),15 Apr 60,Reconnaissance,NA
54,Echo A-10,(31st civilian),13 May 60,Communications,NASA's GSFC & LaRC (Bell Lab.)
55,Midas 2,(24th military),24 May 60,Missile early warning,NA
56,Transit 2A,(25th military),22 Jun 60,Navigation,NA
57,Solrad 1 / GRAB 1,(26th military),22 Jun 60,Sun observations,NA
58,Discoverer 12 / KH-1,(27th military),29 Jun 60,Reconnaissance,NA
59,Mercury-Atlas 1 / MA-1,(32nd civilian),29 Jun 60,Piloted spaceship,NA
60,Discoverer 13 / KH-1,(28th military),10 Aug 60,Reconnaissance,NA
61,Echo 1 (A-11),(33rd civilian),12 Aug 60,Communications,NASA's GSFC & LaRC (Bell Lab.)
62,Discoverer 14 / KH-1,(29th military),18 Aug 60,Reconnaissance,NA
63,Courier 1A,(30th military),18 Aug 60,Communications,NA
64,Discoverer 15 / KH-1,(31st military),13 Sep 60,Reconnaissance,NA
65,Pioneer P-30,(34th civilian),25 Sep 60,Planetary probe,NA
66,Courier 1B,(32nd military),4 Oct 60,Communications,NA
67,Samos 1,(33rd military),11 Oct 60,Reconnaissance,NA
68,Discoverer 16 / KH-1,(34rd military),26 Oct 60,Reconnaissance,NA
69,Explorer 8 (S-30),(35th civilian),3 Nov 60,Earth sciences,NASA's GSFC (Built at MSFC)
70,Discoverer 17 / KH-1,(35th military),12 Nov 60,Reconnaissance,NA
71,Mercury-Redstone 1 / MR-1,(36th civilian),21 Nov 60,Piloted spaceship,NA
72,Tiros 2,(37th civilian),23 Nov 60,Meteorology,NA
73,Transit 3A,(36th military),30 Nov 60,Navigation,NA
74,Solrad 2 / GRAB 2,(37th military),30 Nov 60,Sun observations,NA
75,Explorer S-56,(38th civilian),4 Dec 60,Earth sciences,NA
76,Discoverer 18 / KH-2,(38th military),7 Dec 60,Reconnaissance,NA
77,Pioneer P-31,(39th civilian),15 Dec 60,Planetary probe,NA
78,Mercury-Redstone 1A / MR-1A,(40th civilian),9 Dec 60,Piloted spaceship,NA
79,Discoverer 19 / RM 1,(39th military),20 Dec 60,Technology,NA
80,Mercury-Redstone 2 / MR-2,(41st civilian),31 Jan 61,Piloted spaceship,NA
81,Samos 2,(40th military),31 Jan 61,Reconnaissance,NA
82,Explorer 9 (S-56a),(42nd civilian),16 Feb 61,Earth sciences,NASA's LaRC-GSFC joint project
83,Discoverer 20 / KH-5,(41st military),17 Feb 61,Reconnaissance,NA
84,Discoverer 21 / RM 2,(42nd military),18 Feb 61,Technology,NA
85,Mercury-Atlas 2 / MA-2,(43rd civilian),21 Feb 61,Piloted spaceship,NA
86,Transit 3B,(43rd military),22 Feb 61,Navigation,NA
87,Lofti 1,(44th military),22 Feb 61,Technology,NA
88,Explorer S-45,(44th civilian),24 Feb 61,Earth sciences,NA
89,Explorer 10 (P-14),(45th civilian),25 Mar 61,Earth sciences,NASA's GSFC
90,Discoverer 22 / KH-2,(45th military),30 Mar 61,Reconnaissance,NA
91,Discoverer 23 / KH 5,(46th military),8 Apr 61,Reconnaissance,NA
92,Mercury-Atlas 3 / MA-3,(46th civilian),25 Apr 61,Piloted spaceship,NA
93,Explorer 11 (S-15),(47th civilian),27 Apr 61,Radiation studies,GSFC-MSFC joint project
94,Mercury 3 (MR-3 / Mercury-Redstone 3,(48th civilian),5 May 61,Piloted spaceship,NA
95,Explorer S-45A,(49th civilian),24 May 61,Earth sciences,NA
96,Discoverer 24 / KH-5,(47th military),8 Jun 61,Reconnaissance,NA
97,Discoverer 25 / KH-2,(48th military),16 Jun 61,Reconnaissance,NA
98,Transit 4A,(49th military),29 Jun 61,Navigation,NA
99,Injun 1,(50th military),29 Jun 61,Radiation studies,NA
100,Solrad 3 / GRAB 3,(51st military),29 Jun 61,Sun observations,NA
101,Explorer S-55,(50th civilian),30 Jun 61,Micrometeroids studies,NA
102,Discoverer 26 / KH-2,(52nd military),7 Jul 61,Reconnaissance,NA
103,Tiros 3,(51st civilian),12 Jul 61,Meteorology,NA
104,Midas 3,(53th military),12 Jul 61,Missile early warning,NA
105,Discoverer 27 / KH-5,(54th military),21 Jul 61,Reconnaissance,NA
106,Mercury 4 (MR-3 / Mercury-Redstone 4,(52nd civilian),21 Jul 61,Piloted spaceship,NA
107,Discoverer 28 / KH-2,(55th military),4 Aug 61,Reconnaissance,NA
108,Explorer 12 / EPE-A,(53rd civilian),16 Aug 61,Radiation and solar wind,NA
109,Ranger 1,(54th civilian),23 Aug 61,Planetary probe,NA
110,Explorer 13,(55th civilian),25 Aug 61,Micrometeroids studies,NA
111,Discoverer 29 / KH-3,(56th military),30 Aug 61,Reconnaissance,NA
112,Samos 3,(57th military),9 Sep 61,Reconnaissance,NA
113,Discoverer 30 / KH-3,(58th military),12 Sep 61,Reconnaissance,NA
114,Mercury-Atlas 4 MA-4,(56th civilian),15 Sep 61,Piloted spaceship,NA
115,Discoverer 31 / KH-3,(59th military),17 Sep 61,Reconnaissance,NA
116,Discoverer 32 / KH-3,(60th military),13 Oct 61,Reconnaissance,NA
117,Midas 4,(61st military),21 Oct 61,Missile early warning,NA
118,Westford,(62nd military),21 Oct 61,Technology,NA
119,Discoverer 33 / KH-3,(63rd military),23 Oct 61,Reconnaissance,NA
120,Mercury-Scout 1 / MS-1,(57th civilian),1 Nov 61,Piloted spaceship,NA
121,Discoverer 34 / KH-3,(64th military),5 Nov 61,Reconnaissance,NA
122,Discoverer 35 / KH-3,(65th military),15 Nov 61,Reconnaissance,NA
123,Transit 4B,(66th military),15 Nov 61,Navigation,NA
124,Traac,(67th military),15 Nov 61,Technology,NA
125,Ranger 2,(58th civilian),18 Nov 61,Planetary probe,NA
126,Samos 4,(68th military),22 Nov 61,Reconnaissance,NA
127,Mercury-Atlas 5 / MA-5,(59th civilian),29 Nov 61,Piloted spaceship,NA
128,Discoverer 36 / KH-3,(69th military),12 Dec 61,Reconnaissance,NA
129,Samos 5,(70th military),22 Dec 61,Reconnaissance,NA
130,Discoverer 37 / KH-3,(71st military),13 Jan 62,Reconnaissance,NA
131,Solrad 4A / GRAB 4,(72nd military),24 Jan 62,Technology,NA
132,Lofti-2,(73rd military),24 Jan 62,Technology,NA
133,Injun 2,(74th military),24 Jan 62,Technology,NA
134,Secor 1A,(75th military),24 Jan 62,Geodesy,NA
135,Surcal 1A,(76th military),24 Jan 62,Surveillance,NA
136,Ranger 3,(60th civilian),26 Jan 62,Planetary probe,NA
137,Tiros 4,(61st civilian),8 Feb 62,Meteorology,NA
138,Mercury 6 (MA-6 / Mercury-Atlas 6,(62nd civilian),20 Feb 62,Piloted spaceship,NA
139,Ferret 1,(77th military),21 Feb 62,Electronic intelligence,NA
140,Discoverer 38 / KH-4,(78th military),27 Feb 62,Reconnaissance,NA
141,OSO 1,(63rd civilian),7 Mar 62,Sun observations,NA
142,Samos 6,(79th military),7 Mar 62,Reconnaissance,NA
143,Midas 5,(80th military),9 Apr 62,Missile early warning,NA
144,Westford,(81st military),9 Apr 62,Technology,NA
145,Discoverer 39 / KH-4,(82nd military),18 Apr 62,Reconnaissance,NA
146,Ranger 4,(64th civilian),23 Apr 62,Planetary probe,NA
147,Solrad 4B / GRAB 4B,(83rd military),26 Apr 62,Sun observations,NA
148,Samos 7,(84th military),26 Apr 62,Reconnaissance,NA
149,Discoverer 40 / KH-4,(85th military),29 Apr 62,Reconnaissance,NA
NA,AC-1 / Atlas-Centaur 1,(civilian,8 May 62,Technology,NA
150,ANNA 1A,(86th military),10 May 62,Geodesy,NA
151,Discoverer 41 / KH-5,(87th military),15 May 62,Reconnaissance,NA
152,P-35-1 / DAPP 1,(88th military),23 May 62,Meteorology,NA
153,Mercury 7 (MA-7 / Mercury-Atlas 7,(65th civilian),24 May 62,Planetary probe,NA
154,Discoverer 42 / KH-4,(89th military),30 May 62,Reconnaissance,NA
155,Discoverer 43 / KH-4,(90th military),2 Jun 62,Reconnaissance,NA
156,Samos 8,(91st military),17 Jun 62,Reconnaissance,NA
157,Ferret 2,(92nd military),18 Jun 62,Electronic intelligence,NA
158,Tiros 5,(66th civilian),19 Jun 62,Meteorology,NA
159,Discoverer 44 / KH-4,(93rd military),23 Jun 62,Reconnaissance,NA
160,Discoverer 45 / KH-4,(94th military),28 Jun 62,Reconnaissance,NA
161,Samos 9,(95th military),18 Jul 62,Reconnaissance,NA
162,Discoverer 46 / KH-4,(96th military),21 Jul 62,Reconnaissance,NA
163,Mariner 1,(67th civilian),22 Jul 62,Planetary probe,NA
164,Discoverer 47 / KH-4,(97th military),28 Jul 62,Reconnaissance,NA
165,Discoverer 48 / KH-4,(98th military),2 Aug 62,Reconnaissance,NA
166,Samos 10,(99th military),5 Aug 62,Reconnaissance,NA
167,P-35-2 / DAPP 2,(100th military),23 Aug 62,Meteorology,NA
168,Mariner 2,(68th civilian),27 Aug 62,Planetary probe,NA
169,Discoverer 49 / KH-4,(101st military),29 Aug 62,Reconnaissance,NA
170,Discoverer 50 / KH-5,(102nd military),1 Sep 62,Reconnaissance,NA
171,Discoverer 51 / KH-4,(103rd military),17 Sep 62,Reconnaissance,NA
172,ERS 2 / TRS 1,(104th military),17 Sep 62,Earth sciences,NA
173,Tiros 6,(69th civilian),18 Sep 62,Meteorology,NA
174,TAVE,(70th civilian),29 Sep 62,NA,NA
175,Discoverer 52 / KH-4,(105th military),29 Sep 62,Reconnaissance,NA
176,Explorer 14 / EPE B,(71st civilian),2 Oct 62,Sun observations,NA
177,Mercury 8 (MA-8 / Mercury-Atlas 8,(72nd civilian),3 Oct 62,Planetary probe,NA
178,Discoverer 53 / KH-5,(106th military),9 Oct 62,Reconnaissance,NA
179,Ranger 5,(73rd civilian),18 Oct 62,Planetary probe,NA
180,Starad 1,(107th military),26 Oct 62,Radiation studies,NA
181,Explorer 15 / EPE C / SERB,(74th civilian),27 Oct 62,Radiation studies,NA
182,ANNA 1B,(108th military),31 Oct 62,Geodesy,NA
183,Discoverer 54 / KH-4,(109th military),5 Nov 62,Reconnaissance,NA
184,Samos 11,(110th military),11 Nov 62,Reconnaissance,NA
185,TRS 1 / ERS 1,(111th military),11 Nov 62,Earth sciences,NA
186,Discoverer 55 / KH-4,(112th military),24 Nov 62,Reconnaissance,NA
187,Discoverer 56 / KH-4,(113th military),4 Dec 62,Reconnaissance,NA
188,Black Sphere,(114th military),13 Dec 62,Electronic intelligence,NA
189,Injun 3,(115th military),13 Dec 62,Radiation and geophysical studies,NA
190,Surcal 2,(116th military),13 Dec 62,Electronic intelligence,NA
191,Surcal 1B,(117th military),13 Dec 62,Electronic intelligence?,NA
192,Calsphere 1,(118th military),13 Dec 62,Electronic intelligence,NA
193,Relay 1,(75th civilian),13 Dec 62,Communications,NA
194,Discoverer 57 / KH-4,(119th military),14 Dec 62,Reconnaissance,NA
195,Explorer 16,(76th civilian),16 Dec 62,Micrometeroids studies,NA
196,Midas 6,(120th military),17 Dec 62,Missile early warning,NA
197,TRS 3 / ERS 3,(121st military),17 Dec 62,Earth sciences,NA
198,TRS 4 / ERS 4,(122nd military),17 Dec 62,Earth sciences,NA
199,Transit 5A1,(123rd military),19 Dec 62,Navigation,NA
200,Discoverer 58 / KH-4,(124th military),7 Jan 63,Reconnaissance,NA
201,Ferret 3,(125th military),16 Jan 63,Electronic intelligence,NA
202,Syncom 1,(77th civilian),14 Feb 63,Communications,NA
203,P-35-3 / DAPP 3,(126th military),19 Feb 63,Meteorology,NA
204,Discoverer 59 / KH-4,(127th military),28 Feb 63,Reconnaissance,NA
205,Lanyard-8001 / KH-6 1,(128th military),18 Mar 63,Reconnaissance,NA
206,Hitchhiker,(129th military),18 Mar 63,Electronic intelligence,NA
207,Discoverer 60 / KH-4,(130th military),1 Apr 63,Reconnaissance,NA
208,Explorer 17 / AE-A,(78th civilian),3 Apr 63,Earth sciences,NA
209,Transit 5A2,(131st military),5 Apr 63,Navigation,NA
210,P-35-4 / DAPP 4,(132nd military),26 Apr 63,Meteorology,NA
211,Discoverer 61 / KH-4,(133rd military),26 Apr 63,Reconnaissance,NA
212,Midas 7,(134th military),9 May 63,Missile early warning,NA
213,ERS 5,(135th military),9 May 63,Technology,NA
214,ERS 6 / TRS 3,(136th military),9 May 63,Technology,NA
215,DASH 1,(137th military),9 May 63,Technology,NA
216,Wesfort 2,(138th military),9 May 63,Communications,NA
217,Mercury 9 (MA-9 / Mercury-Atlas 9,(79th civilian),15 May 63,Planetary spaceship,NA
218,Flashlight,(80th civilian),15 May 63,Technology,NA
219,Lanyard 8002 / KH-6 2,(139th military),18 May 63,Reconnaissance,NA
220,Discoverer 62 / KH-4,(140th military),12 Jun 63,Reconnaissance,NA
221,Midas 8,(141st military),13 Jun 63,Missile early warning,NA
222,TRS 7 / ERS 7,(142nd military),13 Jun 63,Technology,NA
223,TRS 8,(143rd military),13 Jun 63,Technology,NA
224,FTV1292,(144th military),15 Jun 63,Electronic intelligence,NA
225,Lofti 2A,(145th military),15 Jun 63,Communications,NA
226,Solrad 6A / GRAB,(146th military),15 Jun 63,Solar radiation studies,NA
227,Radose 112,(147th military),15 Jun 63,Radiation studies,NA
228,Ferret 130,(148th military),15 Jun 63,Electronic intelligence?,NA
229,Surcal 1C-133,(149th military),15 Jun 63,Surveillance calibration,NA
230,Transit 5A3,(150th military),16 Jun 63,Navigation,NA
231,Tiros 7,(81st civilian),19 Jun 63,Meteorology,NA
232,Discoverer 63 / KH-4,(151st military),27 Jun 63,Reconnaissance,NA
233,Hitchhiker 1,(152nd military),27 Jun 63,Radiation studies,NA
234,GRS,(153rd military),28 Jun 63,Geophysics,NA
235,Ferret 4,(154th military),29 Jun 63,Electronic intelligence,NA
236,Improve Samos 1 / KH-7 1,(155th military),12 Jul 63,Reconnaissance,NA
237,Discoverer 64 / KH-4,(156th military),18 Jul 63,Reconnaissance,NA
238,Midas 9,(157th military),18 Jul 63,Missile early warning,NA
239,TRS 10 / ERS 10,(158th military),18 Jul 63,Technology,NA
240,TRS 9 / ERS 9,(159th military),18 Jul 63,Technology,NA
241,DASH 2,(160th military),18 Jul 63,Earth sciences,NA
242,Syncom 2,(82nd civilian),26 Jul 63,Communications,NA
243,Lanyard 8003 / KH-4A 07,(161st military),31 Jul 63,Reconnaissance,NA
244,Discoverer 65 / KH-4A,(162nd military),25 Aug 63,Reconnaissance,NA
245,Discoverer 66 / KH-4,(163rd military),29 Aug 63,Reconnaissance,NA
246,0.1M2 Target,(164th military),29 Aug 63,Radar monitoring,NA
247,Improve Samos 2 / KH-7 2,(165th military),6 Sep 63,Reconnaissance,NA
248,Discoverer 67 / KH-4A,(166th military),23 Sep 63,Reconnaissance,NA
249,P-35-5 / DAPP 5,(167th military),27 Sep 63,Meteorology,NA
250,Transit VBN-1,(168th military),28 Sep 63,Navigation,NA
251,Transit 5BN1,(169th military),28 Sep 63,Navigation,NA
252,Transit 5E 1,(170th military),28 Sep 63,Navigation,NA
253,Vela Hotel 1 / Vela 1A,(171st military),17 Oct 63,Nuclear explosion detection,NA
254,Vela Hotel 2 / Vela 1B,(172nd military),17 Oct 63,Nuclear explosion detection,NA
255,ERS 12 / TRS 5,(173rd military),17 Oct 63,Technology,NA
256,Improve Samos 3 / KH-7 3,(174th military),25 Oct 63,Reconnaissance,NA
257,Subsatellite,(175th military),25 Oct 63,Technology?,NA
258,Discoverer 68 / KH-5,(176th military),29 Oct 63,Reconnaissance,NA
259,Hitchhiker 2,(177th military),29 Oct 63,Radar monitoring,NA
260,Discoverer 69 / KH-4,(178th military),9 Nov 63,Reconnaissance,NA
261,Explorer 18 / IMP A,(83rd civilian),27 Nov 63,Radiation studies,NA
262,AC-2 / Atlas-Centaur 2,(84th civilian),27 Nov 63,Technology,NA
263,Discoverer 70 / KH-4,(179th military),27 Nov 63,Reconnaissance,NA
264,Unidentified,(180th military),5 Dec 63,NA,NA
265,Transit 5BN2,(181st military),5 Dec 63,Navigation,NA
266,Transit 5E 3,(182nd military),5 Dec 63,Navigation,NA
267,Improve Samos 4 / KH-7 4,(183rd military),18 Dec 63,Reconnaissance,NA
268,Explorer 19 / AD-A,(85th civilian),19 Dec 63,Earth sciences,NA
269,Tiros 8,(86th civilian),21 Dec 63,Meteorology,NA
270,Discoverer 71 / KH-4,(184th military),21 Dec 63,Reconnaissance,NA
271,Hitchhiker 3,(185th military),21 Dec 63,Radar monitoring,NA
272,Ferret,(186th military),11 Jan 64,Electronic intelligence,NA
273,GGSE 1,(187th military),11 Jan 64,Technology,NA
274,EGRS 1 / Secor 1,(188th military),11 Jan 64,Geodesy,NA
275,Solrad 7A / GRAB,(189th military),11 Jan 64,Sun observations,NA
276,GRAB 5,(190th military),11 Jan 64,Sun observations,NA
277,P-35-6 / DAPP 6,(191st military),19 Jan 64,Technology,NA
278,P-35-7 / DAPP 7,(192nd military),19 Jan 64,Technology,NA
279,Relay 2,(87th civilian),21 Jan 64,Communications,NA
280,Echo 2 (Echo C),(88th civilian),25 Jan 64,Communications,NASA's GSFC & LaRC (Bell Lab.)
281,Saturn SA-5,(89th civilian),29 Jan 64,Technology,NA
282,Ranger 6,(90th civilian),30 Jan 64,Planetary probe,NA
283,Discoverer 72 / KH-4A,(193rd military),15 Feb 64,Reconnaissance,NA
284,Improve Samos 5 / KH-7 5,(194th military),25 Feb 64,Reconnaissance,NA
285,Ferret 5,(195th military),28 Feb 64,Electronic intelligence,NA
286,Improve Samos 6 / KH-7 6,(196th military),11 Mar 64,Reconnaissance,NA
287,Beacon Explorer A,(91st civilian),19 Mar 64,Earth sciences,NA
288,Discoverer 73 / KH-4A,(197th military),24 Mar 64,Reconnaissance,NA
289,ORBIS 1,(198th military),24 Mar 64,Technology?,NA
290,Gemini 1,(92nd civilian),8 Apr 64,Piloted spaceship,NA
291,Transit 5BN3,(199th military),21 Apr 64,Navigation,NA
292,Transit 5E2,(200th military),21 Apr 64,Navigation,NA
293,Improve Samos 7 / KH-7 7,(201st military),23 Apr 64,Reconnaissance,NA
294,Discoverer 74 / KH-4A,(202nd military),27 Apr 64,Reconnaissance,NA
295,Improve Samos 8 / KH-7 8,(203rd military),19 May 64,Reconnaissance,NA
296,Apollo SA-6,(93rd civilian),28 May 64,Technology,NA
297,Transit 5C1,(204th military),4 Jun 64,Navigation,NA
298,Discoverer 75 / KH-4A,(205th military),4 Jun 64,Reconnaissance,NA
299,Discoverer 76 / KH-5,(206th military),13 Jun 64,Reconnaissance,NA
300,Starflash 1A,(207th military),13 Jun 64,Technology?,NA
301,P-35-8 / DAPP 8,(208th military),18 Jun 64,Technology,NA
302,P-35-9 / DAPP 9,(209th military),18 Jun 64,Technology,NA
303,Discoverer 77 / KH-4A,(210th military),19 Jun 64,Reconnaissance,NA
304,ESRS,(211th military),25 Jun 64,Earth sciences,NA
305,AC-3 / Atlas-Centaur 3,(94th civilian),30 Jun 64,Technology,NA
306,Ferret 6,(212th military),2 Jul 64,Electronic intelligence,NA
307,Improve Samos 9 / KH-7 9,(213th military),6 Jul 64,Reconnaissance,NA
308,Hitchhiker 5,(214th military),6 Jul 64,Electronic intelligence,NA
309,Discoverer 78 / KH-4A,(215th military),10 Jul 64,Reconnaissance,NA
310,Vela Hotel 3 / Vela 2A,(216th military),17 Jul 64,Nuclear explosion monitoring,NA
311,Vela Hotel 4 / Vela 2B,(217th military),17 Jul 64,Nuclear explosion monitoring,NA
312,ERS 13 / TRS 6,(218th military),17 Jul 64,Technology,NA
313,Ranger 7,(95th civilian),28 Jul 64,Planetary probe,NA
314,Discoverer 79 / KH-4A,(219th military),5 Aug 64,Reconnaissance,NA
315,Improve Samos 10 / KH-7 10,(220th military),14 Aug 64,Reconnaissance,NA
316,Hitchhiker 6,(221st military),14 Aug 64,Electronic intelligence,NA
317,Syncom 3,(96th civilian),19 Aug 64,Communications,NA
318,Discoverer 80 / KH-5,(222nd military),21 Aug 64,Reconnaissance,NA
319,Starflash 1B,(223rd military),21 Aug 64,Technology?,NA
320,Explorer 20 / IE-A / TOPSI,(97th civilian),25 Aug 64,Earth sciences,NA
321,Nimbus 1,(98th civilian),28 Aug 64,Meteorology,NA
322,Transtage,(224th military),1 Sep 64,Technology,NA
323,OGO 1 / EOGO 1,(99th civilian),5 Sep 64,Geophysics,NA
324,Discoverer 81 / KH-4A,(225th military),14 Sep 64,Reconnaissance,NA
325,Apollo SA-7,(100th civilian),18 Sep 64,Technology,NA
326,Improve Samos 11 / KH-7 11,(226th military),23 Sep 64,Reconnaissance,NA
327,Explorer 21 / IMP 2,(101st civilian),4 Oct 64,Earth/space sciences,NA
328,Discoverer 82 / KH-4A,(227th military),5 Oct 64,Reconnaissance,NA
329,Transit O-1 / NNS O-1,(228th military),6 Oct 64,Navigation,NA
330,Calsphere 1,(229th military),6 Oct 64,Radar calibration,NA
331,Calsphere 2,(230th military),6 Oct 64,Radar calibration,NA
332,Improve Samos 12 / KH-7 12,(231st military),8 Oct 64,Reconnaissance,NA
333,Explorer 22 / BE-B,(102nd civilian),10 Oct 64,Earth sciences,NA
334,Discoverer 83 / KH-4A,(232nd military),17 Oct 64,Reconnaissance,NA
335,Improve Samos 13 / KH-7 13,(233rd military),23 Oct 64,Reconnaissance,NA
336,Hitchicker 7,(234th military),23 Oct 64,Electronic intelligence,NA
337,Discoverer 84 / KH-4A,(235th military),2 Nov 64,Reconnaissance,NA
338,Ferret 7,(236th military),4 Nov 64,Electronic intelligence,NA
339,Mariner 3,(103rd civilian),5 Nov 64,Planetary probe,NA
340,Explorer 23,(104th civilian),6 Nov 64,Micrometeroids studies,NA
341,Discoverer 85 / KH-4A,(237th military),18 Nov 64,Reconnaissance,NA
342,ORBIS,(238th military),18 Nov 64,Technology?,NA
343,Explorer 24 / AD-B,(105th civilian),21 Nov 64,Earth sciences,NA
344,Explorer 25 / Injun 4,(106th civilian),21 Nov 64,Energetic particles studies,NA
345,Mariner 4,(107th civilian),28 Nov 64,Planetary probe,NA
346,Improve Samos 14 / KH-7 14,(239th military),4 Dec 64,Reconnaissance,NA
347,Transtage 1,(240th military),10 Dec 64,Technology,NA
348,AC-4 / Atlas-Centaur 4,(108th civilian),11 Dec 64,Technology,NA
349,Transit 5E5,(241st military),13 Dec 64,Navigation,NA
350,Transit O-2 / NNS O-2,(242nd military),13 Dec 64,Navigation,NA
351,Discoverer 86 / KH-4A,(243rd military),19 Dec 64,Reconnaissance,NA
352,Explorer 26 / EPE-D,(109th civilian),21 Dec 64,Particles and geomagnetic field studies,NA
353,Ferret 11,(244th military),21 Dec 64,Electronic intelligence,NA
354,Discoverer 87 / KH-4A,(245th military),15 Jan 65,Reconnaissance,NA
355,P-35-10 / DAPP 10,(246th military),19 Jan 65,Meteorology,NA
356,Gemini 2,(110th civilian),19 Jan 65,Piloted spaceship,NA
357,MTV 1,(247th military),21 Jan 65,Technology?,NA
358,OV1-1,(248th military),21 Jan 65,Science & technology?,NA
359,Tiros 9,(111th civilian),22 Jan 65,Meteorology,NA
360,Improve Samos 15 / KH-7 15,(249th military),23 Jan 65,Reconnaissance,NA
361,OSO 2,(112th civilian),3 Feb 65,Solar observatory,NA
362,Transtage 3,(250th military),11 Feb 65,Technology,NA
363,LES 1,(251st military),11 Feb 65,Communications,NA
364,Pegasus 1,(113th civilian),16 Feb 65,Micrometeroids research,NA
365,Apollo BP-16 (SA-8),(114th civilian),16 Feb 65,Piloted technology,NA
366,Ranger 8,(115th civilian),17 Feb 65,Planetary probe,NA
367,Discoverer 88 / KH-4A,(252nd military),25 Feb 65,Reconnaissance,NA
368,AC-5 / Atlas-Centaur 5 (SD-1),(116th civilian),2 Mar 65,Technology,NA
