No,Spacecraft,Country ranks,Launch date,Sponsor,Sponsoring Agency
901,Radcat,(633rd military),2 Oct 72,Radar calibration,NA
902,Radcat (P72-1),(634th military),2 Oct 72,Radar calibration,NA
903,Big Bird 4 / KH-9 4 HEXAGON,(635th military),10 Oct 72,Reconnaissance,NA
904,Hitchhiker 32,(636th military),10 Oct 72,Electronic intelligence,NA
905,NOAA 2,(269th civilian),15 Oct 72,Meteorology,NA
906,DMSP 3 / DMSP Block-5B F3,(637th military),9 Nov 72,Meteorology,NA
907,Explorer 48 / SAS 2,(270th civilian),15 Nov 72,Astronomy,NA
908,Apollo 17 America,(271st civilian),7 Dec 72,Piloted spaceship,NA
909,Apollo 17 Challenger,(272nd civilian),7 Dec 72,Piloted spaceship,NA
910,Lunar rover (LRV-3),(273rd civilian),7 Dec 72,Lunar vehicle,NA
911,Nimbus 5,(274th civilian),11 Dec 72,Piloted spaceship,NA
912,CANYON 5,(638th military),20 Dec 72,Signal intelligence,NA
913,Titan Samos 37 / KH-8 37 GAMBIT,(639th military),21 Dec 72,Reconnaissance,NA
914,Ryolite RH-1,(640th military),6 Mar 73,Electronic intelligence,NA
915,Big Bird 5 / KH-9 5 HEXAGON,(641st military),9 Mar 73,Reconnaissance,NA
916,Pioneer 11,(275th civilian),6 Apr 73,Planetary probe,NA
917,Skylab 1,(276th civilian),14 May 73,Piloted spaceship,NA
918,Titan Samos 38 / KH-8 38 GAMBIT,(642nd military),16 May 73,Reconnaissance,NA
919,Skylab 2,(277th civilian),25 May 73,Piloted spaceship,NA
920,Explorer 49 / RAE-B,(278th civilian),10 Jun 73,Astronomy,NA
921,IMEWS 4 / DSP 2,(643rd military),12 Jun 73,Missile early warning,NA
922,Titan Samos 39 / KH-8 39 GAMBIT,(644th military),26 Jun 73,Reconnaissance,NA
923,Big Bird 6 / KH-9 6 HEXAGON,(645th military),13 Jul 73,Reconnaissance,NA
924,NOAA,(279th civilian),16 Jul 73,Meteorology,NA
925,Skylab 3,(280th civilian),28 Jul 73,Piloted spaceship,NA
926,DMSP 4 / DMSP Block-5B F4,(646th military),17 Aug 73,Meteorology,NA
927,SDS 2 / Jumpseat 3,(647th military),21 Aug 73,Electronic intelligence,NA
928,Titan Samos 40 / KH-8 40 GAMBIT,(648th military),27 Sep 73,Reconnaissance,NA
929,Explorer 50 / IMP 8 ,(281st civilian),26 Oct 73,Space environment studies,NA
930,Transit O-20 / NNS O-20,(649th military),30 Oct 73,Navigation,NA
931,Mariner 10,(282nd civilian),3 Nov 73,Planetary probe,NA
932,NOAA 3,(283rd civilian),6 Nov 73,Meteorology,NA
933,Big Bird 7 / KH-9 7 HEXAGON,(650th military),10 Nov 73,Reconnaissance,NA
934,Hitchhiker 33,(651st military),10 Nov 73,Electronic intelligence,NA
935,Hitchhiker 34,(652nd military),10 Nov 73,Electronic intelligence,NA
936,Skylab 4,(284th civilian),16 Nov 73,Piloted spaceship,NA
937,DSCS 2-3,(653rd military),13 Dec 73,Communications,NA
938,DSCS 2-4,(654th military),13 Dec 73,Communications,NA
939,Explorer 51 / AE-C,(285th civilian),16 Dec 73,Earth sciences,NA
940,VDS (Viking Model),(286th civilian),11 Feb 74,Technology,NA
941,Sphinx,(287th civilian),11 Feb 74,Technology,NA
942,Titan Samos 41 / KH-8 41 GAMBIT,(655th military),13 Feb 74,Reconnaissance,NA
943,Block 5B / DMSP Block-5B F5,(656th military),16 Mar 74,Meteorology,NA
