Ops #,Satellite Name,Intl Designation,Launch,Re-entry
Ops-5955,KH 4B-4,1968,065A,7-Aug-1968,27-Aug-1968
Ops-5960,IMEWS-1,1970,093A,6-Nov-1970,
Ops-6004,KH 7-22,1965,076A,30-Sep-1965,5-Oct-1965
Ops-6026,P35-16,1966,082A,16-Sep-1966,
Ops-6031,Jumpseat-4,1978,021A,25-Feb-1978,
Ops-6063,RH-2,1973,013A,6-Mar-1973,
Ops-6073,P35-17,1967,010A,8-Feb-1967,
Ops-6157,IMEWS-4,1973,040A,12-Jun-1973,
Ops-6182,AMS-3,1978,042A,1-May-1978,
Ops-6226,DMSP-7,1975,043A,24-May-1975,
Ops-6232,KH 7-23,1965,090B,8-Nov-1965,9-Nov-1965
Ops-6236,Hitchiker-17,1968,008B,25-Jan-1968,4-Mar-1970
Ops-6239,Hitchiker-37,1974,085B,29-Oct-1974,23-Jan-1980
Ops-6245,KH 9-8,1974,020A,10-Apr-1974,28-Jul-1974
Ops-6275,KH 8-41,1973,068A,27-Sep-1973,28-Oct-1973
Ops-6291,Fltsatcom-1,1978,016A,9-Feb-1978,
Ops-6292,Fltsatcom-2,1979,038A,4-May-1979,
Ops-6293,Fltsatcom-3,1980,004A,18-Jan-1980,
Ops-6318,KH 9-10,1975,051A,8-Jun-1975,5-Nov-1975
Ops-6371,KH 4B-17,1972,039A,25-May-1972,4-Jun-1972
Ops-6394,Fltsatcom-4,1980,087A,31-Oct-1980,
Ops-6431,NOSS-1,1976,038A,30-Apr-1976,
Ops-6432,NOSS-5,1983,056A,9-Jun-1983,
Ops-6454,Chalet-1,1978,058A,10-Jun-1978,
Ops-6518,KH 8-18,1968,108A,4-Dec-1968,12-Dec-1968
Ops-6531,KH 8-25,1970,002A,14-Jan-1970,1-Feb-1970
Ops-6553,Hitchiker-42,1982,041C,11-May-1982,
Ops-6564,Vela-6,1965,058B,20-Jul-1965,
Ops-6574,KH 8-36,failed,20-May-1972,NA
Ops-6577,Vela-5,1965,058A,20-Jul-1965,
Ops-6582,NNSS-30020,1964,083D,12-Dec-1964,
Ops-6617,KH 4B-8,1969,105A,4-Dec-1969,10-Jan-1970
Ops-6630,KH 9-7,1973,088A,10-Nov-1973,13-Mar-1974
Ops-6630,Hitchiker-34,1973,088D,10-Nov-1973,
Ops-6638,Vela-7,1967,040A,28-Apr-1967,
Ops-6675,Hitchiker-41,1979,025B,16-Mar-1979,
Ops-6679,Vela-8,1967,040B,28-Apr-1967,
Ops-6717,Hitchiker-8,1965,031B,29-Apr-1965,31-Oct-1969
Ops-6749,Hitchiker-9,1965,050A,27-Jun-1965,22-Aug-1968
Ops-6761,Hitchiker-10,1965,062B,3-Aug-1965,17-Jun-1968
Ops-6785,Hitchiker-11,1966,039B,15-May-1966,
Ops-6810,Hitchiker-12,1966,074B,18-Aug-1966,5-Mar-1970
Ops-6820,KH 8-27,1970,048A,25-Jun-1970,6-Jul-1970
Ops-6829,Hitchiker-28,1970,098B,18-Nov-1970,14-Sep-1977
Ops-6874,Hitchiker-13,1966,083B,17-Sep-1966,9-May-1968
Ops-6889,KH 8-42,1974,007A,13-Feb-1974,17-Mar-1974
Ops-6909,Vela-9,1969,046D,23-May-1969,
Ops-6911,Vela-10,1969,046E,23-May-1969,
Ops-6935,Hitchiker-36,1974,020C,10-Apr-1974,22-Feb-1980
Ops-6983,DMSP-6,1974,063A,9-Aug-1974,
Ops-7033,Vela-11,1970,027A,8-Apr-1970,
Ops-7034,NNSS-30180,1968,012A,2-Mar-1968,
Ops-7040,P35-10,1965,003A,19-Jan-1965,13-Jul-1979
Ops-7044,Vela-12,1970,027B,8-Apr-1970,
Ops-7076,Hitchiker-18,1968,020B,14-Mar-1968,3-Jan-1970
Ops-7087,NNSS-30030,1965,017A,11-Mar-1965,14-Jun-1965
Ops-7122,KH 9-9,1974,085A,29-Oct-1974,19-Mar-1975
Ops-7164,KH 8-51,1979,044A,28-May-1979,26-Aug-1979
Ops-7202,P35-18,1967,080A,23-Aug-1967,
Ops-7208,KH 4A-23,1965,067A,17-Aug-1965,11-Oct-1965
Ops-7218,NNSS-30130,1967,048A,18-May-1967,
Ops-7221,KH 4A-24,1965,074A,22-Sep-1965,11-Oct-1965
Ops-7225,SDS-4,1981,038A,24-Apr-1981,
Ops-7245,NOSS-3,1980,019A,3-Mar-1980,
Ops-7249,KH 4A-27,1965,102A,9-Dec-1965,26-Dec-1965
Ops-7253,KH 7-24,1966,002A,19-Jan-1966,25-Jan-1966
Ops-7291,KH 4A-29,1966,007A,2-Feb-1966,27-Feb-1966
Ops-7293,KH 9-3,1972,052A,7-Jul-1972,13-Sep-1972
Ops-7304,SDS-5,1983,078A,31-Jul-1983,
Ops-7310,SDS-3,1978,075A,5-Aug-1978,8-Feb-2001
Ops-7323,DMSP-3,1972,089A,9-Nov-1972,
Ops-7329,Canyon-3,1970,069A,1-Sep-1970,
Ops-7350,IMEWS-9,1981,025A,16-Mar-1981,
Ops-7353,P35-11,1965,021A,18-Mar-1965,31-Dec-1989
Ops-7471,KH 8-50,1977,094A,23-Sep-1977,8-Dec-1977
Ops-7484,IMEWS-8,1979,053A,10-Jun-1979,
Ops-7518,Timation-3,1974,054A,14-Jul-1974,
Ops-7568,KH 8-29,1970,090A,23-Oct-1970,11-Nov-1970
Ops-7600,KH 8-47,1976,027A,22-Mar-1976,18-May-1976
Ops-7613,Timation-2,1969,082A,30-Sep-1969,30-Oct-1970
Ops-7613-1,Ferret-21,1969,082B,30-Sep-1969,
Ops-7613-3,NA,1969,082D,30-Sep-1969,
Ops-7613-4,NA,1969,082E,30-Sep-1969,28-Apr-1977
Ops-7613-5,NA,1969,082F,30-Sep-1969,
Ops-7613-6,NA,1969,082G,30-Sep-1969,
Ops-7616,KH 8-33,1971,092A,23-Oct-1971,17-Nov-1971
Ops-7641,IMEWS-11,1984,037A,14-Apr-1984,
Ops-7681,Hitchiker-29,1971,076B,11-Sep-1971,3-Feb-1976
Ops-7684,Hitchiker-21,1968,112B,14-Dec-1968,
Ops-7705,Hitchiker-33,1973,088B,10-Nov-1973,26-Dec-1978
Ops-7719,Hitchiker-30,1972,002D,20-Jan-1972,17-Apr-1979
Ops-7724,Jumpseat-2,1973,056A,21-Aug-1973,
Ops-7776,KH 8-30,1971,005A,21-Jan-1971,9-Feb-1971
Ops-7803,Hitchiker-31,1972,052C,7-Jul-1972,6-May-1978
Ops-7807,KH 8-23,1969,074A,22-Aug-1969,7-Sep-1969
Ops-7837,SDS-1,1976,050A,2-Jun-1976,
Ops-7858,Hitchiker-40,1978,029B,16-Mar-1978,
Ops-7869,P35-20,1968,042A,23-May-1968,
Ops-7874,KH 8-28,1970,061A,18-Aug-1970,3-Sep-1970
Ops-7885,KH 8-19,1969,007A,22-Jan-1969,3-Feb-1969
Ops-7898,Ferret-24,1971,110A,14-Dec-1971,
Ops-7899,KH 8-31,1971,033A,22-Apr-1971,13-May-1971
Ops-7940,SDS-2,1976,080A,6-Aug-1976,
Ops-8068,P35-13,1965,072A,9-Sep-1965,
Ops-8180A,Radcat-2,1972,076A,2-Oct-1972,
Ops-8180B,Radsat,1972,076B,2-Oct-1972,
Ops-8261,KH 9-6,1973,046A,13-Jul-1973,12-Oct-1973
Ops-8285,Ferret-20,1969,065A,31-Jul-1969,4-Jan-1973
Ops-8293,Pickaback,1965,090A,8-Nov-1965,11-Nov-1965
Ops-8314,KH 9-4,1972,079A,10-Oct-1972,8-Jan-1973
Ops-8329,Ferret-22,1970,066A,26-Aug-1970,26-Mar-1975
Ops-8364,DMSP-4,1973,054A,17-Aug-1973,
Ops-8373,Ferret-23,1971,060A,16-Jul-1971,31-Aug-1978
Ops-8386,P35-12,1965,038A,20-May-1965,
Ops-8410,KH 9-5,1973,014A,9-Mar-1973,19-May-1973
Ops-8411,Ferret-13,1965,055A,17-Jul-1965,18-Dec-1968
